,FTI
% Above Low,0.7639
% Held by Institutions,0.8556999999999999
52-Wk Range,['4.49 - 28.57']
Annual Dividend $,0.52
Annual Dividend %,0.0687
Ask,8.05
Ask Size,2000.0
B/A Ratio,0.05
B/A Size,100x2000
Beta,2.4
Bid,7.9
Bid Size,100.0
Closing Price,7.92
Day Change $,0.35
Day Change %,0.0462
Day High,7.97
Day Low,7.61
Dividend Pay Date,2020-04-08 00:00:00
"EPS (TTM, GAAP)",-12.74
Ex-dividend,2020-03-23 00:00:00
Ex-dividend Date,03/23/20
Historical Volatility,0.74
Last (size),90.0
Last (time),6:30p ET 05/08/20
Market Cap,3.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,7.57
Short Interest,0.0183
Today's Open,7.78
Volume,3812919.0
Volume 10-day Avg,4530104.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.25
Growth 2yr High Est,-0.15384615384615385
Growth 2yr Consensus Est,-0.7019230769230769
Growth 5yr Low Est,-1.25
Growth 5yr High Est,-0.15384615384615385
Growth 5yr Consensus Est,-0.7019230769230769
Growth 5yr Actual/Est,-0.12155659630134957
Growth 3yr Historic,-0.1154755152202685
Price/Earnings (TTM),
Price/Sales (TTM),0.24905
Price/Book (MRQ),0.83661
Price/Cash Flow (TTM),
5yr Low,4.49
5yr High,36.14
5yr Avg Return,-0.25177499999999997
Short Int Current Month,8161217.0
Short Int Prev Month,9376550.0
Short Int Pct of Float,0.0182924
Days to Cover,2.12371
Float,445.1635
Shares Outstanding,448.3034
Institutions Holding Shares,598.0
FCF Growth 5yr,2.019825873049176
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.17440000000000003
Operating Profit Margin (TTM),-0.3521
Net Profit Margin (TTM),-0.4167
Annual Dividend Yield,0.0687
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.34490000000000004
EPS Growth (TTM),-1.8951
Revenue Growth (MRQ),-0.16010000000000002
Revenue Growth (TTM),0.1042
Return On Equity (TTM),-0.7906000000000001
Return On Assets (TTM),-0.24920000000000003
Return On Investment (TTM),-0.4475
Revenue Per Employee (TTM),368281.0
Total Debt/Total Capital (MRQ),0.5168
Change in Debt/Total Capital Quarter over Quarter,0.0044
Quick Ratio (MRQ),0.98
Interest Coverage (MRQ),0.86
newConstructs,2
researchTeam,reduce
cfra,3
theStreet,sell
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-03 00:00:00
cfra since,2019-10-25 00:00:00
theStreet since,2020-02-04 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-10-26 00:00:00
