,2015,2016,2017,2018,2019,2020,Report
high,32.5,35.66,42.18,44.0,47.27,47.74,
low,25.01,26.17,34.12,30.43,33.42,31.71,
change,-0.0375,0.252,0.1497,-0.157,0.3428,-0.19460000000000002,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2295.0,3301.0,3428.0,3814.0,5500.0,,Balance Sheet
Short Term Investments,106.0,,,,,,Balance Sheet
Cash and Short Term Invs,2401.0,3301.0,3428.0,3814.0,5500.0,,Balance Sheet
"Trade Accts Recvble, Gross",7595.0,8622.0,9122.0,11456.0,11711.0,,Balance Sheet
Prov. for Doubtful Accts,-699.0,-667.0,-288.0,-352.0,-419.0,,Balance Sheet
"Total Receivables, Net",6896.0,7955.0,8834.0,11104.0,11292.0,,Balance Sheet
"Other Curr. Assets, Total",3006.0,5105.0,4081.0,6930.0,8600.0,,Balance Sheet
Total Current Assets,12303.0,16361.0,16343.0,21848.0,25392.0,,Balance Sheet
Buildings,10829.0,12550.0,12346.0,14188.0,15104.0,,Balance Sheet
Land/Improvements,1252.0,1273.0,1332.0,1539.0,1483.0,,Balance Sheet
Machinery/Equipment,69684.0,72124.0,72956.0,77025.0,79729.0,,Balance Sheet
Construction in Progress,,,1752.0,2991.0,5245.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,4038.0,,Balance Sheet
Prop./Plant/Equip. - Gross,81765.0,85947.0,88386.0,95743.0,105599.0,,Balance Sheet
Accumulated Depreciation,-48100.0,-49694.0,-49916.0,-51306.0,-53239.0,,Balance Sheet
Prop./Plant/Equip. - Net,33665.0,36253.0,38470.0,44437.0,52360.0,,Balance Sheet
"Goodwill, Net",32945.0,35980.0,36780.0,66154.0,68725.0,,Balance Sheet
Intangibles - Gross,84679.0,86961.0,96535.0,119754.0,121643.0,,Balance Sheet
Accum. Intangible Amort.,-5654.0,-6568.0,-11951.0,-14194.0,-17217.0,,Balance Sheet
Intangibles - Net,82165.0,83890.0,84584.0,105560.0,104426.0,,Balance Sheet
LT Invt. - Affiliate Comp.,678.0,2376.0,3546.0,4035.0,5347.0,,Balance Sheet
LT Investments - Other,2546.0,2871.0,3385.0,3848.0,2336.0,,Balance Sheet
Long Term Investments,3224.0,5247.0,6931.0,7883.0,7683.0,,Balance Sheet
Note Rcvble - Long Term,,,,1399.0,1337.0,,Balance Sheet
Other Long Term Assets,2272.0,2769.0,4354.0,4403.0,3491.0,,Balance Sheet
Total Assets,166574.0,180500.0,187462.0,251684.0,263414.0,,Balance Sheet
Payable/Accrued,6215.0,6915.0,6908.0,8494.0,10826.0,,Balance Sheet
Accrued Expenses,7034.0,8008.0,8264.0,12529.0,12246.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,3627.0,5480.0,5134.0,4398.0,4452.0,,Balance Sheet
