,CMCSA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.1,15.32,Valuation,0.9203655352480418
Price/Sales (TTM),1.49,73.47,Valuation,0.020280386552334287
Price/Book (MRQ),1.99,2.55,Valuation,0.7803921568627451
"PEG Ratio (TTM, GAAP)",2.29,0.65,Valuation,3.523076923076923
Gross Profit Margin (TTM),0.6856,0.5417000000000001,Profitability,1.265645191065165
Operating Profit Margin (TTM),0.1913,-0.2403,Profitability,-0.7960882230545151
Net Profit Margin (TTM),0.10960000000000002,0.4648,Profitability,0.23580034423407922
Annual Dividend Yield,0.0259,0.0146,Dividend,1.773972602739726
Dividend Change %,0.10529999999999999,0.0521,Dividend,2.021113243761996
"Dividend Growth Rate, 3 Years",0.1516,0.09640000000000001,Dividend,1.5726141078838174
EPS Growth (MRQ),-0.32030000000000003,-0.7004,Gowth rates,0.4573101085094232
EPS Growth (TTM),-0.0545,0.2348,Gowth rates,-0.23211243611584326
Revenue Growth (MRQ),-0.063,0.0638,Gowth rates,-0.987460815047022
Revenue Growth (TTM),0.1026,0.0994,Gowth rates,1.0321931589537223
Return On Equity (TTM),0.1489,0.1054,Effectiveness,1.4127134724857686
Return On Assets (TTM),0.045899999999999996,0.034100000000000005,Effectiveness,1.3460410557184748
Return On Investment (TTM),0.052000000000000005,0.0432,Effectiveness,1.2037037037037037
Revenue Per Employee (TTM),572063.0,610288.0,Effectiveness,0.9373656372073513
Total Debt/Total Capital (MRQ),0.5640999999999999,0.579,Financial strength,0.9742659758203799
Change in Debt/Total Capital Quarter over Quarter,-0.0003,0.0015,Financial strength,-0.19999999999999998
Quick Ratio (MRQ),,0.2,Financial strength,
Interest Coverage (MRQ),2.51,30.06,Financial strength,0.08349966733200266
