,CMCSA
% Above Low,0.15230000000000002
% Held by Institutions,0.8259000000000001
52-Wk Range,['31.71 - 47.74']
Annual Dividend $,0.92
Annual Dividend %,0.0259
Ask,36.7
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,36.31
Bid Size,200.0
Closing Price,36.54
Day Change $,0.955
Day Change %,0.0268
Day High,36.65
Day Low,36.0
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.52
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.355
Last (size),61.0
Last (time),4:15p ET 05/08/20
Market Cap,166.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.1
Prev Close,35.58
Short Interest,0.018500000000000003
Today's Open,36.25
Volume,12979665.0
Volume 10-day Avg,20316393.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,32.0
Growth 1yr Low Est,-0.2425373134328359
Growth 1yr High Est,-0.19811320754716988
Growth 1yr Consensus Est,-0.2203252604900029
Growth 2yr Low Est,-0.0030420557311963137
Growth 2yr High Est,0.04996300406955234
Growth 2yr Consensus Est,0.023460474169178014
Growth 5yr Low Est,0.07623851467068316
Growth 5yr High Est,0.14181374572519584
Growth 5yr Consensus Est,0.1090261301979395
Growth 5yr Actual/Est,0.1178816447140642
Growth 3yr Historic,0.11632876451551494
Price/Earnings (TTM),14.09706
Price/Sales (TTM),1.49406
Price/Book (MRQ),1.99237
Price/Cash Flow (TTM),6.54493
5yr Low,25.01
5yr High,47.74
5yr Avg Return,0.05923333333333333
EPS Growth 5yr,0.1211036
Revenue Growth 5yr,0.0963594
Dividend Growth 5yr,0.1329568
Short Int Current Month,83265917.0
Short Int Prev Month,85566805.0
Short Int Pct of Float,0.018466899999999998
Days to Cover,3.70222
Float,4517.461
Shares Outstanding,4564.158
Institutions Holding Shares,2557.0
FCF Growth 5yr,0.08654984805314019
"Price/Earnings (TTM, GAAP)",14.1
"PEG Ratio (TTM, GAAP)",2.29
Gross Profit Margin (TTM),0.6856
Operating Profit Margin (TTM),0.1913
Net Profit Margin (TTM),0.10960000000000002
Annual Dividend Yield,0.0259
Dividend Change %,0.10529999999999999
"Dividend Growth Rate, 3 Years",0.1516
EPS Growth (MRQ),-0.32030000000000003
EPS Growth (TTM),-0.0545
Revenue Growth (MRQ),-0.063
Revenue Growth (TTM),0.1026
Return On Equity (TTM),0.1489
Return On Assets (TTM),0.045899999999999996
Return On Investment (TTM),0.052000000000000005
Revenue Per Employee (TTM),572063.0
Total Debt/Total Capital (MRQ),0.5640999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.51
newConstructs,2
researchTeam,reduce
cfra,5
theStreet,buy
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2019-01-23 00:00:00
theStreet since,2010-08-15 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-10-26 00:00:00
