,PNC
% Above Low,0.3226
% Held by Institutions,0.8161
52-Wk Range,['79.41 - 161.79']
Annual Dividend $,4.6
Annual Dividend %,0.0454
Ask,106.1
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,1.3
Bid,105.03
Bid Size,600.0
Closing Price,105.03
Day Change $,3.74
Day Change %,0.0369
Day High,105.48
Day Low,103.11
Dividend Pay Date,2020-05-05 00:00:00
"EPS (TTM, GAAP)",10.75
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.506
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,44.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.77
Prev Close,101.29
Short Interest,0.0116
Today's Open,104.17
Volume,1330885.0
Volume 10-day Avg,2019549.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.149822695035461
Growth 1yr High Est,-0.23838209982788294
Growth 1yr Consensus Est,-0.694102397431672
Growth 2yr Low Est,-2.6932545427840022
Growth 2yr High Est,-0.01184641714557988
Growth 2yr Consensus Est,-1.352550479964791
Growth 5yr Low Est,-1.261282688582607
Growth 5yr High Est,0.08088925072827369
Growth 5yr Consensus Est,-0.5901967189271666
Growth 5yr Actual/Est,0.07720631713463683
Growth 3yr Historic,0.08087301587301587
Price/Earnings (TTM),9.77181
Price/Sales (TTM),2.45659
Price/Book (MRQ),0.90398
Price/Cash Flow (TTM),7.21387
5yr Low,77.4
5yr High,163.59
5yr Avg Return,0.05463333333333334
EPS Growth 5yr,0.0923918
Revenue Growth 5yr,0.0783704
Dividend Growth 5yr,0.1744061
Short Int Current Month,4955800.0
Short Int Prev Month,5144999.0
Short Int Pct of Float,0.0115868
Days to Cover,1.66579
Float,423.2841
Shares Outstanding,424.2604
Institutions Holding Shares,1570.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",9.77
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3319
Net Profit Margin (TTM),0.2791
Annual Dividend Yield,0.0438
Dividend Change %,0.2353
"Dividend Growth Rate, 3 Years",0.2559
EPS Growth (MRQ),-0.3429
EPS Growth (TTM),-0.0149
Revenue Growth (MRQ),-0.041100000000000005
Revenue Growth (TTM),0.034
Return On Equity (TTM),0.09730000000000001
Return On Assets (TTM),0.0121
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,4
creditSuisse,neutral
theStreet,hold
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-10-13 00:00:00
creditSuisse since,2015-01-07 00:00:00
theStreet since,2020-03-24 00:00:00
ford since,2020-03-13 00:00:00
