,UDR
% Above Low,0.313
% Held by Institutions,0.9842
52-Wk Range,['29.20 - 51.25']
Annual Dividend $,1.44
Annual Dividend %,0.0381
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.6
Bid,30.27
Bid Size,
Closing Price,38.34
Day Change $,0.5
Day Change %,0.0132
Day High,39.04
Day Low,37.73
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",0.56
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.42200000000000004
Last (size),48700.0
Last (time),6:30p ET 05/08/20
Market Cap,11.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",69.05
Prev Close,37.84
Short Interest,0.024399999999999998
Today's Open,38.51
Volume,1695864.0
Volume 10-day Avg,1902649.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,12.0
Growth 2yr High Est,0.0
Growth 2yr Consensus Est,6.0
Growth 5yr Low Est,12.0
Growth 5yr High Est,0.0
Growth 5yr Consensus Est,6.0
Growth 5yr Actual/Est,0.05948285948285953
Growth 3yr Historic,0.1332923832923833
Price/Earnings (TTM),69.04749
Price/Sales (TTM),9.39811
Price/Book (MRQ),3.30779
Price/Cash Flow (TTM),15.58025
5yr Low,29.2
5yr High,51.25
5yr Avg Return,0.030633333333333332
EPS Growth 5yr,0.8689665999999999
Revenue Growth 5yr,0.0709014
Dividend Growth 5yr,0.0587015
Short Int Current Month,7124353.0
Short Int Prev Month,7078980.0
Short Int Pct of Float,0.024431500000000002
Days to Cover,3.14481
Float,292.3708
Shares Outstanding,294.886
Institutions Holding Shares,614.0
FCF Growth 5yr,-3.4388522597993587
"Price/Earnings (TTM, GAAP)",69.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6838
Operating Profit Margin (TTM),0.17250000000000001
Net Profit Margin (TTM),0.1484
Annual Dividend Yield,0.0376
Dividend Change %,0.056799999999999996
"Dividend Growth Rate, 3 Years",0.051100000000000007
EPS Growth (MRQ),-0.9571
EPS Growth (TTM),-0.29050000000000004
Revenue Growth (MRQ),0.0547
Revenue Growth (TTM),0.1304
Return On Equity (TTM),0.051100000000000007
Return On Assets (TTM),0.0202
Return On Investment (TTM),0.0242
Revenue Per Employee (TTM),904512.0
Total Debt/Total Capital (MRQ),0.532
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),1.21
newConstructs,4
researchTeam,reduce
theStreet,hold
marketEdge opinion,avoid
marketEdge,1
cfra,4
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
theStreet since,2019-11-18 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2019-05-01 00:00:00
ford since,2019-10-25 00:00:00
creditSuisse since,
