,BKNG
% Above Low,0.2922
% Held by Institutions,0.9438
52-Wk Range,"['1,107.29 - 2,094.00']"
Annual Dividend $,
Annual Dividend %,
Ask,1438.0
Ask Size,100.0
Ask close,0.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,1431.15
Bid Size,100.0
Bid close,1367.84
Change Since Close,7.17| |(0.50%)
Closing Price,1430.83
Day Change $,-13.08
Day Change %,-0.0091
Day High,1444.25
Day Low,1366.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",112.19
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),15.0
Last (time),4:00p ET 05/08/20
Last Trade,1438.0
Market Cap,58.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.87
Prev Close,1443.91
Short Interest,0.0362
Today's Open,1440.99
Volume,877662.0
Volume 10-day Avg,542802.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-1.2638030490317265
Growth 1yr High Est,0.10126213592233024
Growth 1yr Consensus Est,-0.5812704565546981
Growth 2yr Low Est,-1.796095198861822
Growth 2yr High Est,0.14773941672251578
Growth 2yr Consensus Est,-0.8241778910696531
Growth 5yr Low Est,-0.8243801711762735
Growth 5yr High Est,0.15234187884459544
Growth 5yr Consensus Est,-0.33601914616583906
Growth 5yr Actual/Est,0.26724035811743463
Growth 3yr Historic,0.07744655977979997
Price/Earnings (TTM),12.87
Price/Sales (TTM),3.93532
Price/Book (MRQ),10.07972
Price/Cash Flow (TTM),11.15094
5yr Low,954.02
5yr High,2228.99
5yr Avg Return,0.04941666666666667
EPS Growth 5yr,0.19526330000000003
Revenue Growth 5yr,0.12282180000000001
Dividend Growth 5yr,
Short Int Current Month,1479343.0
Short Int Prev Month,1211372.0
Short Int Pct of Float,0.0362346
Days to Cover,2.51293
Float,40.82686
Shares Outstanding,41.06181
Institutions Holding Shares,1747.0
FCF Growth 5yr,0.09657684435365117
"Price/Earnings (TTM, GAAP)",12.87
"PEG Ratio (TTM, GAAP)",2.58
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.35479999999999995
Net Profit Margin (TTM),0.32180000000000003
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3848
EPS Growth (TTM),0.3615
Revenue Growth (MRQ),-0.3375
Revenue Growth (TTM),0.0371
Return On Equity (TTM),0.6587999999999999
Return On Assets (TTM),0.21989999999999998
Return On Investment (TTM),0.2757
Revenue Per Employee (TTM),570682.0
Total Debt/Total Capital (MRQ),0.5925
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
creditSuisse,outperform
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2011-08-23 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2012-11-29 00:00:00
ford since,2020-02-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
