,ODFL
% Below High,0.013600000000000001
% Held by Institutions,0.7666
52-Wk Range,['87.25 - 154.87']
Annual Dividend $,0.6133
Annual Dividend %,0.0040999999999999995
Ask,155.0
Ask Size,100.0
B/A Ratio,43.0
B/A Size,4300x100
Beta,1.0
Bid,140.0
Bid Size,4300.0
Closing Price,152.76
Day Change $,3.05
Day Change %,0.0204
Day High,154.65
Day Low,151.15
Dividend Pay Date,2020-03-18 00:00:00
"EPS (TTM, GAAP)",5.12
Ex-dividend,2020-03-03 00:00:00
Ex-dividend Date,03/03/20
Historical Volatility,0.406
Last (size),3.0
Last (time),4:15p ET 05/08/20
Market Cap,18.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.24
Prev Close,149.71
Short Interest,0.0342
Today's Open,151.94
Volume,685445.0
Volume 10-day Avg,833002.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.4212651413189771
Growth 1yr High Est,-0.3717948717948717
Growth 1yr Consensus Est,-0.3965300065569244
Growth 2yr Low Est,-0.11179536135716289
Growth 2yr High Est,-0.048142333856619535
Growth 2yr Consensus Est,-0.07996884760689121
Growth 5yr Low Est,-0.05903728315829641
Growth 5yr High Est,-0.006312200471632168
Growth 5yr Consensus Est,-0.03267474181496429
Growth 5yr Actual/Est,0.11476810100689241
Growth 3yr Historic,0.0876544715447155
Price/Earnings (TTM),29.83244
Price/Sales (TTM),4.38848
Price/Book (MRQ),5.98335
Price/Cash Flow (TTM),20.67644
5yr Low,32.61
5yr High,154.87
5yr Avg Return,0.25203333333333333
EPS Growth 5yr,0.1977993
Revenue Growth 5yr,0.0806728
Dividend Growth 5yr,
Short Int Current Month,3565764.0
Short Int Prev Month,3350053.0
Short Int Pct of Float,0.0341807
Days to Cover,4.04203
Float,102.7351
Shares Outstanding,117.9482
Institutions Holding Shares,685.0
FCF Growth 5yr,0.45875999245564464
"Price/Earnings (TTM, GAAP)",29.83
"PEG Ratio (TTM, GAAP)",4.07
Gross Profit Margin (TTM),0.8881
Operating Profit Margin (TTM),0.2006
Net Profit Margin (TTM),0.1499
Annual Dividend Yield,0.004
Dividend Change %,0.30770000000000003
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07540000000000001
EPS Growth (TTM),-0.0028000000000000004
Revenue Growth (MRQ),-0.0216
Revenue Growth (TTM),-0.0009
Return On Equity (TTM),0.2127
Return On Assets (TTM),0.1611
Return On Investment (TTM),0.1796
Revenue Per Employee (TTM),204213.0
Total Debt/Total Capital (MRQ),0.0147
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,2
theStreet,buy
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-16 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-04-25 00:00:00
theStreet since,2010-07-29 00:00:00
ford since,2019-05-31 00:00:00
creditSuisse since,2019-07-11 00:00:00
