,Industry,ODFL,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",95.51,29.83,Valuation,0.31232331693016435
Price/Sales (TTM),4.01,4.39,Valuation,1.0947630922693266
Price/Book (MRQ),4.67,5.98,Valuation,1.2805139186295504
"PEG Ratio (TTM, GAAP)",55.69,4.07,Valuation,0.0730831388040941
Gross Profit Margin (TTM),0.6152000000000001,0.8881,Profitability,1.4435955786736019
Operating Profit Margin (TTM),0.1472,0.2006,Profitability,1.3627717391304348
Net Profit Margin (TTM),0.056900000000000006,0.1499,Profitability,2.634446397188049
Annual Dividend Yield,0.0146,0.004,Dividend,0.273972602739726
Dividend Change %,0.11810000000000001,0.30770000000000003,Dividend,2.605419136325148
"Dividend Growth Rate, 3 Years",0.09970000000000001,,Dividend,
EPS Growth (MRQ),-0.5263,-0.07540000000000001,Gowth rates,0.14326429792893788
EPS Growth (TTM),-0.0172,-0.0028000000000000004,Gowth rates,0.16279069767441862
Revenue Growth (MRQ),0.0426,-0.0216,Gowth rates,-0.5070422535211268
Revenue Growth (TTM),0.0273,-0.0009,Gowth rates,-0.03296703296703297
Return On Equity (TTM),0.1616,0.2127,Effectiveness,1.3162128712871288
Return On Assets (TTM),0.0575,0.1611,Effectiveness,2.8017391304347825
Return On Investment (TTM),0.054000000000000006,0.1796,Effectiveness,3.3259259259259255
Revenue Per Employee (TTM),517057.0,204213.0,Effectiveness,0.39495258743233336
Total Debt/Total Capital (MRQ),0.44799999999999995,0.0147,Financial strength,0.0328125
Change in Debt/Total Capital Quarter over Quarter,0.0006,-0.0006,Financial strength,-1.0
Quick Ratio (MRQ),0.64,,Financial strength,
Interest Coverage (MRQ),4.84,,Financial strength,
