,BLL
% Above Low,0.2595
% Held by Institutions,0.8204
52-Wk Range,['51.26 - 82.82']
Annual Dividend $,0.6
Annual Dividend %,0.0091
Ask,65.1
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,0.5
Bid,63.2
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,64.56
Day Change $,-1.33
Day Change %,-0.0202
Day High,66.66
Day Low,63.56
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",1.39
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.385
Last (size),2900.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,21.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",47.3
Prev Close,65.89
Short Interest,0.0166
Today's Open,66.07
Volume,3755882.0
Volume 10-day Avg,1678401.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.020408163265306256
Growth 1yr High Est,0.12648221343873534
Growth 1yr Consensus Est,0.05303702508671454
Growth 2yr Low Est,0.04187925170068024
Growth 2yr High Est,0.1685042646141045
Growth 2yr Consensus Est,0.10519175815739237
Growth 5yr Low Est,0.08872400615594286
Growth 5yr High Est,0.1508962383420212
Growth 5yr Consensus Est,0.11981012224898203
Growth 5yr Actual/Est,0.1147396811553868
Growth 3yr Historic,0.05710784313725492
Price/Earnings (TTM),47.30045
Price/Sales (TTM),1.87084
Price/Book (MRQ),7.95007
Price/Cash Flow (TTM),18.96288
5yr Low,28.98
5yr High,82.82
5yr Avg Return,0.11471666666666666
EPS Growth 5yr,0.0017130000000000001
Revenue Growth 5yr,0.060099900000000005
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,5406245.0
Short Int Prev Month,5496199.0
Short Int Pct of Float,0.0166362
Days to Cover,2.06612
Float,323.5916
Shares Outstanding,325.7851
Institutions Holding Shares,878.0
FCF Growth 5yr,-1.0029085547371688
"Price/Earnings (TTM, GAAP)",47.3
"PEG Ratio (TTM, GAAP)",4.01
Gross Profit Margin (TTM),0.20120000000000002
Operating Profit Margin (TTM),0.0755
Net Profit Margin (TTM),0.039700000000000006
Annual Dividend Yield,0.0091
Dividend Change %,0.375
"Dividend Growth Rate, 3 Years",0.2837
EPS Growth (MRQ),-0.8549
EPS Growth (TTM),-0.0309
Revenue Growth (MRQ),0.024300000000000002
Revenue Growth (TTM),-0.0138
Return On Equity (TTM),0.15109999999999998
Return On Assets (TTM),0.027200000000000002
Return On Investment (TTM),0.0359
Revenue Per Employee (TTM),626995.0
Total Debt/Total Capital (MRQ),0.7476
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),0.72
Interest Coverage (MRQ),3.8
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,4
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
theStreet since,2018-08-02 00:00:00
cfra since,2020-04-16 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
