,FLS
% Above Low,0.41100000000000003
% Held by Institutions,1.0008
52-Wk Range,['18.98 - 53.98']
Annual Dividend $,0.8
Annual Dividend %,0.0292
Ask,30.89
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,26.81
Bid Size,100.0
Closing Price,26.78
Day Change $,-0.65
Day Change %,-0.023700000000000002
Day High,27.64
Day Low,25.83
Dividend Pay Date,2020-04-09 00:00:00
"EPS (TTM, GAAP)",1.49
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.517
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,3.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.46
Prev Close,27.43
Short Interest,0.0374
Today's Open,26.0
Volume,2030311.0
Volume 10-day Avg,1321352.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.4418604651162791
Growth 1yr High Est,0.1238938053097347
Growth 1yr Consensus Est,-0.15898332990327219
Growth 2yr Low Est,-0.26259689922480617
Growth 2yr High Est,0.1328130443871508
Growth 2yr Consensus Est,-0.06489192741882768
Growth 5yr Low Est,0.0020970727756566
Growth 5yr High Est,0.2016918374369912
Growth 5yr Consensus Est,0.1018944551063239
Growth 5yr Actual/Est,0.08684512364700733
Growth 3yr Historic,0.13597689075630254
Price/Earnings (TTM),18.46442
Price/Sales (TTM),0.90371
Price/Book (MRQ),2.14542
Price/Cash Flow (TTM),11.66051
5yr Low,18.98
5yr High,58.01
5yr Avg Return,-0.07546666666666665
EPS Growth 5yr,-0.1235804
Revenue Growth 5yr,-0.0415714
Dividend Growth 5yr,0.0415602
Short Int Current Month,4851563.0
Short Int Prev Month,2710819.0
Short Int Pct of Float,0.037373699999999996
Days to Cover,2.7099
Float,130.1533
Shares Outstanding,130.1127
Institutions Holding Shares,531.0
FCF Growth 5yr,0.19545613392117164
"Price/Earnings (TTM, GAAP)",18.46
"PEG Ratio (TTM, GAAP)",2.9
Gross Profit Margin (TTM),0.3239
Operating Profit Margin (TTM),0.0862
Net Profit Margin (TTM),0.0516
Annual Dividend Yield,0.0292
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0044
EPS Growth (MRQ),-1.0088
EPS Growth (TTM),0.2509
Revenue Growth (MRQ),-0.16260000000000002
Revenue Growth (TTM),0.0385
Return On Equity (TTM),0.11699999999999999
Return On Assets (TTM),0.0424
Return On Investment (TTM),0.0556
Revenue Per Employee (TTM),232309.0
Total Debt/Total Capital (MRQ),0.44770000000000004
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.57
Interest Coverage (MRQ),2.79
theStreet,hold
newConstructs,2
researchTeam,hold
creditSuisse,outperform
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet since,2020-03-11 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2019-08-02 00:00:00
cfra since,2018-03-06 00:00:00
ford since,2020-04-03 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
