,CME
% Below High,0.1945
% Held by Institutions,0.8598
52-Wk Range,['131.80 - 225.36']
Annual Dividend $,3.4
Annual Dividend %,0.019
Ask,182.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,0.3
Bid,181.53
Bid Size,300.0
Closing Price,181.53
Day Change $,3.04
Day Change %,0.017
Day High,181.81
Day Low,179.74
Dividend Pay Date,2020-06-25 00:00:00
"EPS (TTM, GAAP)",6.66
Ex-dividend,2020-06-09 00:00:00
Ex-dividend Date,06/09/20
Historical Volatility,0.459
Last (size),2.0
Last (time),3:59p ET 05/08/20
Market Cap,65.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",26.81
Prev Close,178.49
Short Interest,0.0148
Today's Open,180.46
Volume,1445562.0
Volume 10-day Avg,1969333.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.017699115044247815
Growth 1yr High Est,0.1260623229461757
Growth 1yr Consensus Est,0.07188071899521176
Growth 2yr Low Est,-0.004918558419905128
Growth 2yr High Est,0.08818839417749036
Growth 2yr Consensus Est,0.041634917878792616
Growth 5yr Low Est,0.10136752163750509
Growth 5yr High Est,0.15516457832041675
Growth 5yr Consensus Est,0.1282660499789609
Growth 5yr Actual/Est,0.13160692516998218
Growth 3yr Historic,0.10670921017847376
Price/Earnings (TTM),26.80924
Price/Sales (TTM),12.28363
Price/Book (MRQ),2.40301
Price/Cash Flow (TTM),22.3868
5yr Low,81.87
5yr High,225.36
5yr Avg Return,0.13025
EPS Growth 5yr,0.11990360000000001
Revenue Growth 5yr,0.0935742
Dividend Growth 5yr,0.09797560000000001
Short Int Current Month,5221426.0
Short Int Prev Month,5043879.0
Short Int Pct of Float,0.0148013
Days to Cover,2.71705
Float,352.8955
Shares Outstanding,358.5852
Institutions Holding Shares,1411.0
FCF Growth 5yr,0.12500921354034947
"Price/Earnings (TTM, GAAP)",26.81
"PEG Ratio (TTM, GAAP)",5.22
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5598
Net Profit Margin (TTM),0.4581
Annual Dividend Yield,0.019
Dividend Change %,0.0714
"Dividend Growth Rate, 3 Years",0.0772
EPS Growth (MRQ),0.6315
EPS Growth (TTM),0.2445
Revenue Growth (MRQ),0.3371
Revenue Growth (TTM),0.18960000000000002
Return On Equity (TTM),0.09050000000000001
Return On Assets (TTM),0.022799999999999997
Return On Investment (TTM),0.0644
Revenue Per Employee (TTM),1195069.0
Total Debt/Total Capital (MRQ),0.12029999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.005600000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,3
ford,2
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2014-02-11 00:00:00
cfra since,2018-01-08 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-12-16 00:00:00
