,SNPS
% Below High,0.04019999999999999
% Held by Institutions,0.8941
52-Wk Range,['104.90 - 166.87']
Annual Dividend $,
Annual Dividend %,
Ask,161.44
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.1
Bid,155.0
Bid Size,200.0
Closing Price,160.17
Day Change $,1.23
Day Change %,0.0077
Day High,161.99
Day Low,158.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.12
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),5700.0
Last (time),4:15p ET 05/08/20
Market Cap,24.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",51.28
Prev Close,158.94
Short Interest,0.0169
Today's Open,160.42
Volume,723922.0
Volume 10-day Avg,947078.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,0.04405286343612347
Growth 1yr High Est,0.1471861471861471
Growth 1yr Consensus Est,0.09561950531113528
Growth 2yr Low Est,0.11590828825814603
Growth 2yr High Est,0.1556685452911868
Growth 2yr Consensus Est,0.1357884167746664
Growth 5yr Low Est,0.1444198373305175
Growth 5yr High Est,0.16765785268001682
Growth 5yr Consensus Est,0.15603884500526716
Growth 5yr Actual/Est,0.14708432953654388
Growth 3yr Historic,0.07737881575208266
Price/Earnings (TTM),51.27721
Price/Sales (TTM),7.13013
Price/Book (MRQ),5.79871
Price/Cash Flow (TTM),35.12724
5yr Low,39.26
5yr High,166.87
5yr Avg Return,0.25144999999999995
EPS Growth 5yr,0.1601159
Revenue Growth 5yr,0.1031105
Dividend Growth 5yr,
Short Int Current Month,2515225.0
Short Int Prev Month,2678366.0
Short Int Pct of Float,0.0168702
Days to Cover,2.43275
Float,149.1329
Shares Outstanding,150.2271
Institutions Holding Shares,906.0
FCF Growth 5yr,0.19515862932802097
"Price/Earnings (TTM, GAAP)",51.28
"PEG Ratio (TTM, GAAP)",3.46
Gross Profit Margin (TTM),0.7769
Operating Profit Margin (TTM),0.13640000000000002
Net Profit Margin (TTM),0.1431
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3497
EPS Growth (TTM),-0.18050000000000002
Revenue Growth (MRQ),-0.0196
Revenue Growth (TTM),0.0639
Return On Equity (TTM),0.1218
Return On Assets (TTM),0.0713
Return On Investment (TTM),0.10220000000000001
Revenue Per Employee (TTM),242852.0
Total Debt/Total Capital (MRQ),0.0738
Change in Debt/Total Capital Quarter over Quarter,-0.0046
Quick Ratio (MRQ),0.88
Interest Coverage (MRQ),
newConstructs,4
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-05-24 00:00:00
cfra since,2020-02-22 00:00:00
ford since,2020-01-24 00:00:00
creditSuisse since,2016-10-19 00:00:00
