,NVDA
% Below High,0.0121
% Held by Institutions,0.6661
52-Wk Range,['132.60 - 316.32']
Annual Dividend $,0.64
Annual Dividend %,0.0021
Ask,314.16
Ask Size,1300.0
B/A Ratio,0.07692307692307693
B/A Size,100x1300
Beta,1.3
Bid,313.71
Bid Size,100.0
Closing Price,312.5
Day Change $,7.63
Day Change %,0.025
Day High,312.75
Day Low,306.39
Dividend Pay Date,2020-03-20 00:00:00
"EPS (TTM, GAAP)",4.52
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.5579999999999999
Last (size),1.0
Last (time),4:15p ET 05/08/20
Market Cap,192.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",67.42
Prev Close,304.87
Short Interest,0.0204
Today's Open,307.75
Volume,8497678.0
Volume 10-day Avg,9308339.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.1636363636363638
Growth 1yr High Est,0.5174825174825175
Growth 1yr Consensus Est,0.34055944055944065
Growth 2yr Low Est,0.18572443181818188
Growth 2yr High Est,0.386621443073056
Growth 2yr Consensus Est,0.28617293744561895
Growth 5yr Low Est,0.08288061536416806
Growth 5yr High Est,0.21330318427092623
Growth 5yr Consensus Est,0.14809189981754714
Growth 5yr Actual/Est,0.19364877565033536
Growth 3yr Historic,0.062395328200769845
Price/Earnings (TTM),67.42227
Price/Sales (TTM),17.17679
Price/Book (MRQ),15.31345
Price/Cash Flow (TTM),59.02935
5yr Low,19.09
5yr High,316.32
5yr Avg Return,0.7592833333333333
EPS Growth 5yr,0.32212670000000004
Revenue Growth 5yr,0.1845448
Dividend Growth 5yr,0.1348546
Short Int Current Month,11993211.0
Short Int Prev Month,11453634.0
Short Int Pct of Float,0.0204487
Days to Cover,0.87097
Float,589.5989
Shares Outstanding,615.1351
Institutions Holding Shares,2251.0
FCF Growth 5yr,0.43947676225559773
"Price/Earnings (TTM, GAAP)",69.11
"PEG Ratio (TTM, GAAP)",5.04
Gross Profit Margin (TTM),0.6199
Operating Profit Margin (TTM),0.2607
Net Profit Margin (TTM),0.2561
Annual Dividend Yield,0.002
Dividend Change %,0.0492
"Dividend Growth Rate, 3 Years",0.0968
EPS Growth (MRQ),0.0527
EPS Growth (TTM),-0.25010000000000004
Revenue Growth (MRQ),0.0302
Revenue Growth (TTM),-0.0681
Return On Equity (TTM),0.2595
Return On Assets (TTM),0.1827
Return On Investment (TTM),0.2034
Revenue Per Employee (TTM),792595.0
Total Debt/Total Capital (MRQ),0.1403
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),7.13
Interest Coverage (MRQ),
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
ford,2
marketEdge opinion,long
marketEdge,-2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2019-04-05 00:00:00
cfra since,2020-03-28 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
