,PLD
% Below High,0.0984
% Held by Institutions,0.8683
52-Wk Range,['59.82 - 99.79']
Annual Dividend $,2.32
Annual Dividend %,0.0263
Ask,97.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,88.0
Bid Size,100.0
Closing Price,89.97
Day Change $,1.9
Day Change %,0.0216
Day High,90.3
Day Low,88.63
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",2.64
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.436
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,66.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",34.05
Prev Close,88.07
Short Interest,0.0101
Today's Open,90.29
Volume,2248978.0
Volume 10-day Avg,2641538.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.09740259740259749
Growth 2yr High Est,-0.024390243902438935
Growth 2yr Consensus Est,-0.06089642065251821
Growth 5yr Low Est,-0.09740259740259749
Growth 5yr High Est,-0.024390243902438935
Growth 5yr Consensus Est,-0.06089642065251821
Growth 5yr Actual/Est,-0.13457876420919365
Growth 3yr Historic,-0.057334722506888924
Price/Earnings (TTM),34.05091
Price/Sales (TTM),18.80109
Price/Book (MRQ),2.06128
Price/Cash Flow (TTM),21.69931
5yr Low,35.25
5yr High,99.79
5yr Avg Return,0.16038333333333335
EPS Growth 5yr,0.1521015
Revenue Growth 5yr,0.13596170000000002
Dividend Growth 5yr,0.0993915
Short Int Current Month,7401231.0
Short Int Prev Month,7998834.0
Short Int Pct of Float,0.0100658
Days to Cover,1.48367
Float,735.2144
Shares Outstanding,739.0895
Institutions Holding Shares,1182.0
FCF Growth 5yr,0.0868525122174671
"Price/Earnings (TTM, GAAP)",34.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7266
Operating Profit Margin (TTM),0.2886
Net Profit Margin (TTM),0.5284000000000001
Annual Dividend Yield,0.0258
Dividend Change %,0.1042
"Dividend Growth Rate, 3 Years",0.0806
EPS Growth (MRQ),0.0949
EPS Growth (TTM),-0.029500000000000002
Revenue Growth (MRQ),0.1843
Revenue Growth (TTM),0.2268
Return On Equity (TTM),0.0634
Return On Assets (TTM),0.04
Return On Investment (TTM),0.045899999999999996
Revenue Per Employee (TTM),2065894.0
Total Debt/Total Capital (MRQ),0.2989
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
cfra,5
theStreet,buy
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-12-15 00:00:00
theStreet since,2015-10-21 00:00:00
ford since,2020-01-24 00:00:00
creditSuisse since,
