,JPM
% Above Low,0.2053
% Held by Institutions,0.7281
52-Wk Range,['76.91 - 141.10']
Annual Dividend $,3.6
Annual Dividend %,0.0395
Ask,92.93
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,92.83
Bid Size,100.0
Closing Price,92.7
Day Change $,1.49
Day Change %,0.0163
Day High,94.08
Day Low,92.11
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",8.86
Ex-dividend,2020-04-03 00:00:00
Ex-dividend Date,04/03/20
Historical Volatility,0.46799999999999997
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,282.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.3
Prev Close,91.21
Short Interest,0.0096
Today's Open,92.8
Volume,20494915.0
Volume 10-day Avg,19006359.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.9800598205383848
Growth 1yr High Est,-0.34737827715355807
Growth 1yr Consensus Est,-0.6637190488459714
Growth 2yr Low Est,13.084970089730806
Growth 2yr High Est,0.06160497907027984
Growth 2yr Consensus Est,6.573287534400543
Growth 5yr Low Est,6.649425976394117
Growth 5yr High Est,0.15090064719143714
Growth 5yr Consensus Est,3.400163311792777
Growth 5yr Actual/Est,0.17368545032376656
Growth 3yr Historic,0.12012734797835084
Price/Earnings (TTM),10.29716
Price/Sales (TTM),2.42146
Price/Book (MRQ),1.20189
Price/Cash Flow (TTM),8.58459
5yr Low,50.07
5yr High,141.1
5yr Avg Return,0.1014
EPS Growth 5yr,0.151938
Revenue Growth 5yr,0.1027663
Dividend Growth 5yr,0.16165690000000002
Short Int Current Month,28974482.0
Short Int Prev Month,26429653.0
Short Int Pct of Float,0.0095965
Days to Cover,1.11148
Float,3019.343
Shares Outstanding,3046.537
Institutions Holding Shares,3473.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",10.3
"PEG Ratio (TTM, GAAP)",2.07
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3174
Net Profit Margin (TTM),0.26239999999999997
Annual Dividend Yield,0.0395
Dividend Change %,0.3306
"Dividend Growth Rate, 3 Years",0.215
EPS Growth (MRQ),-0.6950000000000001
EPS Growth (TTM),-0.037700000000000004
Revenue Growth (MRQ),-0.0384
Revenue Growth (TTM),0.0253
Return On Equity (TTM),0.12210000000000001
Return On Assets (TTM),0.0102
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
creditSuisse,outperform
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
creditSuisse since,2015-01-07 00:00:00
theStreet since,2012-01-23 00:00:00
cfra since,2014-02-05 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
