,Industry,OKE,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-38.53,16.31,Valuation,-0.4233065144043602
Price/Sales (TTM),3.31,1.36,Valuation,0.4108761329305136
Price/Book (MRQ),2.33,2.33,Valuation,1.0
"PEG Ratio (TTM, GAAP)",0.36,68.84,Valuation,191.22222222222223
Gross Profit Margin (TTM),0.3986,,Profitability,
Operating Profit Margin (TTM),0.0008,0.1408,Profitability,176.0
Net Profit Margin (TTM),-0.0022,0.084,Profitability,-38.18181818181818
Annual Dividend Yield,0.0677,0.11939999999999999,Dividend,1.7636632200886262
Dividend Change %,0.1452,0.08779999999999999,Dividend,0.6046831955922864
"Dividend Growth Rate, 3 Years",0.0892,0.12789999999999999,Dividend,1.4338565022421523
EPS Growth (MRQ),-2.6838,-1.446,Gowth rates,0.5387882852671585
EPS Growth (TTM),-1.0761,-0.34869999999999995,Gowth rates,0.32404051668060585
Revenue Growth (MRQ),0.0493,-0.1978,Gowth rates,-4.012170385395538
Revenue Growth (TTM),-0.0143,-0.2241,Gowth rates,15.67132867132867
Return On Equity (TTM),0.0538,0.133,Effectiveness,2.472118959107807
Return On Assets (TTM),0.0174,0.0391,Effectiveness,2.2471264367816097
Return On Investment (TTM),0.0278,0.04190000000000001,Effectiveness,1.507194244604317
Revenue Per Employee (TTM),3758765.0,3303637.0,Effectiveness,0.8789155480590034
Total Debt/Total Capital (MRQ),0.3738,0.718,Financial strength,1.9208132691278756
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0018,Financial strength,1.125
Quick Ratio (MRQ),0.78,1.0,Financial strength,1.282051282051282
Interest Coverage (MRQ),3.59,5.42,Financial strength,1.50974930362117
