,OKE
% Above Low,1.5765
% Held by Institutions,0.7314
52-Wk Range,['12.16 - 78.48']
Annual Dividend $,3.74
Annual Dividend %,0.1257
Ask,31.56
Ask Size,20000.0
B/A Ratio,0.055
B/A Size,1100x20000
Beta,2.1
Bid,31.0
Bid Size,1100.0
Closing Price,31.33
Day Change $,1.58
Day Change %,0.053099999999999994
Day High,31.52
Day Low,30.21
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",1.92
Ex-dividend,2020-04-24 00:00:00
Ex-dividend Date,04/24/20
Historical Volatility,0.871
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,13.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.31
Prev Close,29.75
Short Interest,0.0356
Today's Open,30.44
Volume,5074262.0
Volume 10-day Avg,6076673.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.05693950177935947
Growth 1yr High Est,-0.04716981132075482
Growth 1yr Consensus Est,-0.05205465655005714
Growth 2yr Low Est,-0.1284697508896797
Growth 2yr High Est,-0.005433090478859204
Growth 2yr Consensus Est,-0.06695142068426946
Growth 5yr Low Est,0.20718957985399117
Growth 5yr High Est,0.17285864586024496
Growth 5yr Consensus Est,0.19002411285711807
Growth 5yr Actual/Est,0.16006773474040617
Growth 3yr Historic,0.17096550032701108
Price/Earnings (TTM),15.49148
Price/Sales (TTM),1.29331
Price/Book (MRQ),2.21432
Price/Cash Flow (TTM),9.52234
5yr Low,12.16
5yr High,78.48
5yr Avg Return,0.10676666666666668
EPS Growth 5yr,0.151426
Revenue Growth 5yr,-0.0357735
Dividend Growth 5yr,0.10683569999999999
Short Int Current Month,14620207.0
Short Int Prev Month,9576540.0
Short Int Pct of Float,0.035571
Days to Cover,1.93184
Float,411.1089
Shares Outstanding,413.9072
Institutions Holding Shares,1152.0
FCF Growth 5yr,-9.715580202009624
"Price/Earnings (TTM, GAAP)",16.31
"PEG Ratio (TTM, GAAP)",68.84
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1408
Net Profit Margin (TTM),0.084
Annual Dividend Yield,0.11939999999999999
Dividend Change %,0.08779999999999999
"Dividend Growth Rate, 3 Years",0.12789999999999999
EPS Growth (MRQ),-1.446
EPS Growth (TTM),-0.34869999999999995
Revenue Growth (MRQ),-0.1978
Revenue Growth (TTM),-0.2241
Return On Equity (TTM),0.133
Return On Assets (TTM),0.0391
Return On Investment (TTM),0.04190000000000001
Revenue Per Employee (TTM),3303637.0
Total Debt/Total Capital (MRQ),0.718
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),5.42
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
theStreet,hold
cfra,3
ford,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2020-05-05 00:00:00
theStreet since,2020-03-20 00:00:00
cfra since,2019-01-03 00:00:00
ford since,2020-04-17 00:00:00
