,EIX
% Above Low,0.30760000000000004
% Held by Institutions,0.9218999999999999
52-Wk Range,['43.63 - 78.93']
Annual Dividend $,2.55
Annual Dividend %,0.046799999999999994
Ask,65.0
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,0.6
Bid,55.3
Bid Size,1000.0
Closing Price,57.05
Day Change $,2.52
Day Change %,0.0462
Day High,57.31
Day Low,55.35
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",3.45
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.43700000000000006
Last (size),964.0
Last (time),6:30p ET 05/08/20
Market Cap,20.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.82
Prev Close,54.53
Short Interest,0.0146
Today's Open,55.42
Volume,1507300.0
Volume 10-day Avg,2171252.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.004728132387706863
Growth 1yr High Est,-0.06832298136645965
Growth 1yr Consensus Est,-0.03179742448937639
Growth 2yr Low Est,0.016481713252677
Growth 2yr High Est,0.02250517598343682
Growth 2yr Consensus Est,0.01949344461805691
Growth 5yr Low Est,0.011165681378574432
Growth 5yr High Est,0.03904233894957285
Growth 5yr Consensus Est,0.02510401016407364
Growth 5yr Actual/Est,0.010613065263953475
Growth 3yr Historic,0.013688085676037465
Price/Earnings (TTM),15.82355
Price/Sales (TTM),1.60589
Price/Book (MRQ),1.48456
Price/Cash Flow (TTM),6.60212
5yr Low,43.63
5yr High,83.38
5yr Avg Return,0.014716666666666664
EPS Growth 5yr,-0.0280237
Revenue Growth 5yr,-0.0164259
Dividend Growth 5yr,0.1152585
Short Int Current Month,5274014.0
Short Int Prev Month,6293990.0
Short Int Pct of Float,0.014559200000000001
Days to Cover,1.98352
Float,361.3813
Shares Outstanding,362.6142
Institutions Holding Shares,861.0
FCF Growth 5yr,0.8081273190020412
"Price/Earnings (TTM, GAAP)",15.82
"PEG Ratio (TTM, GAAP)",5.27
Gross Profit Margin (TTM),0.3682
Operating Profit Margin (TTM),0.1401
Net Profit Margin (TTM),0.10640000000000001
Annual Dividend Yield,0.0468
Dividend Change %,0.0124
"Dividend Growth Rate, 3 Years",0.08460000000000001
EPS Growth (MRQ),0.2727
EPS Growth (TTM),3.8068
Revenue Growth (MRQ),-0.060599999999999994
Revenue Growth (TTM),-0.0468
Return On Equity (TTM),0.09960000000000001
Return On Assets (TTM),0.021
Return On Investment (TTM),0.023100000000000002
Revenue Per Employee (TTM),951766.0
Total Debt/Total Capital (MRQ),0.5781000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),0.73
Interest Coverage (MRQ),1.72
newConstructs,4
researchTeam,reduce
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2019-03-01 00:00:00
theStreet since,2019-11-27 00:00:00
ford since,2019-11-08 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
