,DRE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",30.1,32.22,Valuation,0.9342023587833644
Price/Sales (TTM),13.09,9.58,Valuation,1.3663883089770354
Price/Book (MRQ),2.47,5.69,Valuation,0.4340949033391916
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),0.6943,0.6416,Profitability,1.082138403990025
Operating Profit Margin (TTM),0.5323,0.2959,Profitability,1.7989185535653938
Net Profit Margin (TTM),0.43520000000000003,0.2781,Profitability,1.5649047105357785
Annual Dividend Yield,0.028300000000000002,0.0434,Dividend,0.652073732718894
Dividend Change %,0.07980000000000001,0.0707,Dividend,1.1287128712871288
"Dividend Growth Rate, 3 Years",0.0643,0.0641,Dividend,1.0031201248049921
EPS Growth (MRQ),-0.7793000000000001,0.5167,Gowth rates,-1.508225275788659
EPS Growth (TTM),0.1322,0.2809,Gowth rates,0.47063011747953015
Revenue Growth (MRQ),-0.0178,0.0848,Gowth rates,-0.2099056603773585
Revenue Growth (TTM),-0.044000000000000004,0.0765,Gowth rates,-0.5751633986928105
Return On Equity (TTM),0.0839,0.1253,Effectiveness,0.6695929768555468
Return On Assets (TTM),0.0492,0.0361,Effectiveness,1.3628808864265929
Return On Investment (TTM),0.051100000000000007,0.0395,Effectiveness,1.2936708860759496
Revenue Per Employee (TTM),2337998.0,5431777.0,Effectiveness,0.43042967338313043
Total Debt/Total Capital (MRQ),0.385,0.5589000000000001,Financial strength,0.6888531043120415
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0003,Financial strength,1.0
Quick Ratio (MRQ),,0.03,Financial strength,
Interest Coverage (MRQ),2.73,2.49,Financial strength,1.0963855421686746
