,DRE
% Below High,0.1276
% Held by Institutions,0.9702
52-Wk Range,['25.19 - 38.88']
Annual Dividend $,0.94
Annual Dividend %,0.028300000000000002
Ask,37.5
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,31.0
Bid Size,400.0
Closing Price,33.92
Day Change $,0.69
Day Change %,0.0208
Day High,34.05
Day Low,33.37
Dividend Pay Date,2020-05-29 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2020-05-13 00:00:00
Ex-dividend Date,05/13/20
Historical Volatility,0.434
Last (size),61000.0
Last (time),6:30p ET 05/08/20
Market Cap,12.5B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",30.1
Prev Close,33.23
Short Interest,0.0163
Today's Open,33.81
Volume,1879447.0
Volume 10-day Avg,2279976.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.04444444444444429
Growth 2yr High Est,0.19999999999999996
Growth 2yr Consensus Est,0.12222222222222212
Growth 5yr Low Est,0.04444444444444429
Growth 5yr High Est,0.19999999999999996
Growth 5yr Consensus Est,0.12222222222222212
Growth 5yr Actual/Est,-0.2747045813289759
Growth 3yr Historic,-0.16563678471880638
Price/Earnings (TTM),30.10046
Price/Sales (TTM),13.08816
Price/Book (MRQ),2.46783
Price/Cash Flow (TTM),17.42599
5yr Low,17.6
5yr High,38.88
5yr Avg Return,0.10316666666666668
EPS Growth 5yr,0.1813833
Revenue Growth 5yr,-0.0143713
Dividend Growth 5yr,0.0529185
Short Int Current Month,5982455.0
Short Int Prev Month,5938399.0
Short Int Pct of Float,0.0162705
Days to Cover,2.07899
Float,367.6919
Shares Outstanding,368.3429
Institutions Holding Shares,685.0
FCF Growth 5yr,-0.14723310140923346
"Price/Earnings (TTM, GAAP)",30.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6943
Operating Profit Margin (TTM),0.5323
Net Profit Margin (TTM),0.43520000000000003
Annual Dividend Yield,0.028300000000000002
Dividend Change %,0.07980000000000001
"Dividend Growth Rate, 3 Years",0.0643
EPS Growth (MRQ),-0.7793000000000001
EPS Growth (TTM),0.1322
Revenue Growth (MRQ),-0.0178
Revenue Growth (TTM),-0.044000000000000004
Return On Equity (TTM),0.0839
Return On Assets (TTM),0.0492
Return On Investment (TTM),0.051100000000000007
Revenue Per Employee (TTM),2337998.0
Total Debt/Total Capital (MRQ),0.385
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.73
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2014-08-01 00:00:00
cfra since,2019-04-25 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
