,AVGO
% Below High,0.1705
% Held by Institutions,0.8237000000000001
52-Wk Range,['155.67 - 331.58']
Annual Dividend $,13.0
Annual Dividend %,0.048600000000000004
Ask,276.99
Ask Size,100.0
Ask close,275.94
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,274.61
Bid Size,200.0
Bid close,274.56
Change Since Close,-0.03| |(-0.01%)
Closing Price,275.03
Day Change $,7.28
Day Change %,0.027200000000000002
Day High,275.55
Day Low,270.03
Dividend Pay Date,2020-03-31 00:00:00
"EPS (TTM, GAAP)",6.05
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.524
Last (size),6.0
Last (time),4:15p ET 05/08/20
Last Trade,275.0
Market Cap,110.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",44.27
Prev Close,267.75
Short Interest,0.016200000000000003
Today's Open,272.2
Volume,1676190.0
Volume 10-day Avg,2175408.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-04 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,-0.029551954242135414
Growth 1yr High Est,0.04807692307692313
Growth 1yr Consensus Est,0.009262484417393857
Growth 2yr Low Est,0.006343865708008933
Growth 2yr High Est,0.07537092112780186
Growth 2yr Consensus Est,0.0408573934179054
Growth 5yr Low Est,0.08020758822686797
Growth 5yr High Est,0.12391610488333488
Growth 5yr Consensus Est,0.10206184655510142
Growth 5yr Actual/Est,0.10923301027559901
Growth 3yr Historic,0.08075291859494632
Price/Earnings (TTM),44.27354
Price/Sales (TTM),4.72267
Price/Book (MRQ),4.38412
Price/Cash Flow (TTM),12.43398
5yr Low,100.0
5yr High,331.58
5yr Avg Return,0.1616333333333333
EPS Growth 5yr,0.41047580000000006
Revenue Growth 5yr,0.3955485
Dividend Growth 5yr,0.5647519
Short Int Current Month,6301540.0
Short Int Prev Month,5421460.0
Short Int Pct of Float,0.0161737
Days to Cover,2.02992
Float,389.6674
Shares Outstanding,399.7914
Institutions Holding Shares,1745.0
FCF Growth 5yr,0.4450839734947333
"Price/Earnings (TTM, GAAP)",44.27
"PEG Ratio (TTM, GAAP)",3.58
Gross Profit Margin (TTM),0.5545
Operating Profit Margin (TTM),0.159
Net Profit Margin (TTM),0.11630000000000001
Annual Dividend Yield,0.048600000000000004
Dividend Change %,0.5143
"Dividend Growth Rate, 3 Years",0.7613
EPS Growth (MRQ),-0.6295000000000001
EPS Growth (TTM),-0.47490000000000004
Revenue Growth (MRQ),0.014199999999999999
Revenue Growth (TTM),0.0636
Return On Equity (TTM),0.10640000000000001
Return On Assets (TTM),0.0344
Return On Investment (TTM),0.0385
Revenue Per Employee (TTM),1192947.0
Total Debt/Total Capital (MRQ),0.6474
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.44
Interest Coverage (MRQ),1.92
newConstructs,4
researchTeam,hold
theStreet,hold
cfra,5
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2015-07-06 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
