,MO
% Above Low,0.18710000000000002
% Held by Institutions,0.6188
52-Wk Range,['30.95 - 53.11']
Annual Dividend $,3.36
Annual Dividend %,0.09570000000000001
Ask,37.0
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,36.74
Bid Size,100.0
Closing Price,36.74
Day Change $,1.64
Day Change %,0.0467
Day High,36.9
Day Low,35.44
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",-0.43
Ex-dividend,2020-03-24 00:00:00
Ex-dividend Date,03/24/20
Historical Volatility,0.354
Last (size),20.0
Last (time),6:30p ET 05/08/20
Market Cap,68.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.1
Short Interest,0.006500000000000001
Today's Open,35.63
Volume,8454236.0
Volume 10-day Avg,10468510.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.02147971360381884
Growth 1yr High Est,0.01869158878504673
Growth 1yr Consensus Est,-0.0013940624093860543
Growth 2yr Low Est,0.022186972466383292
Growth 2yr High Est,0.04948340907142246
Growth 2yr Consensus Est,0.035835190768902875
Growth 5yr Low Est,0.07929466984848574
Growth 5yr High Est,0.0949350282450262
Growth 5yr Consensus Est,0.08711484904675597
Growth 5yr Actual/Est,0.07573018401143466
Growth 3yr Historic,0.058658815179541746
Price/Earnings (TTM),
Price/Sales (TTM),2.52423
Price/Book (MRQ),9.96924
Price/Cash Flow (TTM),
5yr Low,30.95
5yr High,77.79
5yr Avg Return,-0.035399999999999994
EPS Growth 5yr,
Revenue Growth 5yr,0.0047503
Dividend Growth 5yr,0.1057521
Short Int Current Month,12057198.0
Short Int Prev Month,10299108.0
Short Int Pct of Float,0.0064973999999999995
Days to Cover,1.12511
Float,1855.939
Shares Outstanding,1858.368
Institutions Holding Shares,2032.0
FCF Growth 5yr,0.1213137778159408
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4944
Operating Profit Margin (TTM),0.025099999999999997
Net Profit Margin (TTM),-0.0311
Annual Dividend Yield,0.09570000000000001
Dividend Change %,0.1329
"Dividend Growth Rate, 3 Years",0.1202
EPS Growth (MRQ),1.9301
EPS Growth (TTM),-1.1264
Revenue Growth (MRQ),0.058600000000000006
Revenue Growth (TTM),0.0385
Return On Equity (TTM),-0.0779
Return On Assets (TTM),-0.0144
Return On Investment (TTM),-0.0178
Revenue Per Employee (TTM),3539863.0
Total Debt/Total Capital (MRQ),0.8179000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.53
Interest Coverage (MRQ),24.34
newConstructs,1
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
cfra,3
theStreet,hold
ford,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2020-03-04 00:00:00
theStreet since,2019-08-15 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,
