,LIN
% Below High,0.17309999999999998
% Held by Institutions,0.8117
52-Wk Range,['146.71 - 227.85']
Annual Dividend $,3.85
Annual Dividend %,0.0208
Ask,194.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,185.0
Bid Size,100.0
Closing Price,188.41
Day Change $,3.62
Day Change %,0.0196
Day High,188.41
Day Low,184.75
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",4.28
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.35700000000000004
Last (size),1700.0
Last (time),6:30p ET 05/08/20
Market Cap,98.9B
"P/E Ratio (TTM, GAAP)",43.15
Prev Close,184.79
Short Interest,0.0116
Today's Open,184.91
Volume,1843094.0
Volume 10-day Avg,1604520.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-05 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.03596127247579539
Growth 1yr High Est,0.11156462585034022
Growth 1yr Consensus Est,0.03780167668727241
Growth 2yr Low Est,0.0659504971910837
Growth 2yr High Est,0.12738574009775272
Growth 2yr Consensus Est,0.09666811864441821
Growth 5yr Low Est,0.10041573855337077
Growth 5yr High Est,0.12480160292558867
Growth 5yr Consensus Est,0.11260867073947972
Growth 5yr Actual/Est,0.10302349143787437
Growth 3yr Historic,0.060975794982257026
Price/Earnings (TTM),43.15346
Price/Sales (TTM),3.46317
Price/Book (MRQ),2.16736
Price/Cash Flow (TTM),14.04464
5yr Low,145.95
5yr High,227.85
5yr Avg Return,0.08576666666666669
EPS Growth 5yr,-0.0691814
Revenue Growth 5yr,0.181261
Dividend Growth 5yr,0.061253
Short Int Current Month,6169164.0
Short Int Prev Month,6284994.0
Short Int Pct of Float,0.011615899999999998
Days to Cover,2.30858
Float,524.5699
Shares Outstanding,525.1824
Institutions Holding Shares,1596.0
FCF Growth 5yr,0.06000389177461898
"Price/Earnings (TTM, GAAP)",43.15
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4158
Operating Profit Margin (TTM),0.1091
Net Profit Margin (TTM),0.08259999999999999
Annual Dividend Yield,0.020800000000000003
Dividend Change %,0.060599999999999994
"Dividend Growth Rate, 3 Years",0.0527
EPS Growth (MRQ),0.1393
EPS Growth (TTM),-0.6070000000000001
Revenue Growth (MRQ),-0.04820000000000001
Revenue Growth (TTM),0.4908
Return On Equity (TTM),0.0483
Return On Assets (TTM),0.0263
Return On Investment (TTM),0.0327
Revenue Per Employee (TTM),350787.0
Total Debt/Total Capital (MRQ),0.2632
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),38.42
theStreet,hold
newConstructs,4
researchTeam,hold
cfra,4
ford,3
creditSuisse,
marketEdge,
theStreet since,2020-03-13 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
cfra since,2020-02-14 00:00:00
ford since,2020-03-20 00:00:00
creditSuisse since,
marketEdge since,
