,TT
% Above Low,0.2056
% Held by Institutions,0.8168000000000001
52-Wk Range,['70.00 - 118.10']
Annual Dividend $,2.12
Annual Dividend %,0.0262
Ask,86.2
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,83.6
Bid Size,100.0
Closing Price,84.39
Day Change $,3.36
Day Change %,0.0415
Day High,84.75
Day Low,82.55
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",4.99
Ex-dividend,2020-06-04 00:00:00
Ex-dividend Date,06/04/20
Historical Volatility,0.797
Last (size),150.0
Last (time),6:30p ET 05/08/20
Market Cap,20.2B
"P/E Ratio (TTM, GAAP)",16.91
Prev Close,81.03
Short Interest,0.0152
Today's Open,82.86
Volume,1239703.0
Volume 10-day Avg,1580611.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.6087636932707354
Growth 1yr High Est,-0.44012441679626746
Growth 1yr Consensus Est,-0.5244440550335014
Growth 2yr Low Est,-0.11038184663536765
Growth 2yr High Est,-0.07283998617591148
Growth 2yr Consensus Est,-0.09161091640563956
Growth 5yr Low Est,0.04098024785348736
Growth 5yr High Est,0.01719922369289517
Growth 5yr Consensus Est,0.029089735773191266
Growth 5yr Actual/Est,0.05497801258202989
Growth 3yr Historic,0.09484370244771972
Price/Earnings (TTM),16.91443
Price/Sales (TTM),1.28871
Price/Book (MRQ),3.49688
Price/Cash Flow (TTM),12.47636
5yr Low,47.08
5yr High,146.85
5yr Avg Return,0.08436666666666666
EPS Growth 5yr,0.1138574
Revenue Growth 5yr,0.051854899999999995
Dividend Growth 5yr,0.16216329999999998
Short Int Current Month,3598014.0
Short Int Prev Month,2516762.0
Short Int Pct of Float,0.015156099999999999
Days to Cover,2.64265
Float,238.3134
Shares Outstanding,239.2079
Institutions Holding Shares,1186.0
FCF Growth 5yr,0.2940803461039659
"Price/Earnings (TTM, GAAP)",16.91
"PEG Ratio (TTM, GAAP)",8.05
Gross Profit Margin (TTM),0.31120000000000003
Operating Profit Margin (TTM),0.1183
Net Profit Margin (TTM),0.0788
Annual Dividend Yield,0.025099999999999997
Dividend Change %,0.0816
"Dividend Growth Rate, 3 Years",0.1595
EPS Growth (MRQ),-0.8135
EPS Growth (TTM),-0.0898
Revenue Growth (MRQ),-0.36369999999999997
Revenue Growth (TTM),0.0382
Return On Equity (TTM),0.1925
Return On Assets (TTM),0.066
Return On Investment (TTM),0.08630000000000002
Revenue Per Employee (TTM),313286.0
Total Debt/Total Capital (MRQ),0.4905
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),2.72
newConstructs,2
researchTeam,reduce
cfra,4
theStreet,hold
creditSuisse,outperform
ford,3
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2017-11-30 00:00:00
theStreet since,2020-05-06 00:00:00
creditSuisse since,2018-10-11 00:00:00
ford since,2020-04-17 00:00:00
marketEdge since,
