,TT
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.6087636932707354
Growth 1yr High Est,-0.44012441679626746
Growth 1yr Consensus Est,-0.5244440550335014
Growth 2yr Low Est,-0.11038184663536765
Growth 2yr High Est,-0.07283998617591148
Growth 2yr Consensus Est,-0.09161091640563956
Growth 5yr Low Est,0.04098024785348736
Growth 5yr High Est,0.01719922369289517
Growth 5yr Consensus Est,0.029089735773191266
Growth 5yr Actual/Est,0.05497801258202989
Growth 3yr Historic,0.09484370244771972
