,TEL
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.40437158469945356
Growth 1yr High Est,-0.25270758122743686
Growth 1yr Consensus Est,-0.3285395829634452
Growth 2yr Low Est,-0.20065674036195924
Growth 2yr High Est,0.047559252864542545
Growth 2yr Consensus Est,-0.07654874374870835
Growth 5yr Low Est,-0.05960693041946963
Growth 5yr High Est,0.06450437767789127
Growth 5yr Consensus Est,0.002448723629210822
Growth 5yr Actual/Est,0.02422249870452786
Growth 3yr Historic,0.037698874016009576
