,2015,2016,2017,2018,2019,2020,Report
high,71.04,71.87,97.17,108.23,97.99,101.0,
low,54.32,51.7,66.2,69.84,72.24,48.62,
change,-0.059800000000000006,0.09150000000000001,0.3655,-0.20980000000000001,0.2861,-0.20750000000000002,
Date,2015-09-25 00:00:00,2016-09-30 00:00:00,2017-09-29 00:00:00,2018-09-28 00:00:00,2019-09-27 00:00:00,,Balance Sheet
Cash and Short Term Invs,3329.0,647.0,1218.0,848.0,927.0,,Balance Sheet
"Trade Accts Recvble, Gross",2138.0,2063.0,2156.0,2383.0,2345.0,,Balance Sheet
Prov. for Doubtful Accts,-18.0,-17.0,-18.0,-22.0,-25.0,,Balance Sheet
"Total Receivables, Net",2120.0,2046.0,2138.0,2361.0,2320.0,,Balance Sheet
Invent. - Finished Goods,773.0,669.0,806.0,925.0,837.0,,Balance Sheet
Invent. - Work In Progress,535.0,504.0,570.0,656.0,739.0,,Balance Sheet
Invent. - Raw Materials,261.0,241.0,271.0,276.0,260.0,,Balance Sheet
Inventories - Other,46.0,182.0,,,,,Balance Sheet
Total Inventory,1615.0,1596.0,1647.0,1857.0,1836.0,,Balance Sheet
Prepaid Expenses,476.0,486.0,578.0,661.0,471.0,,Balance Sheet
Deferred Income Tax,329.0,207.0,236.0,207.0,156.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,,345.0,472.0,0.0,,Balance Sheet
"Other Curr. Assets, Total",345.0,0.0,345.0,472.0,0.0,,Balance Sheet
Total Current Assets,7885.0,4775.0,5926.0,6199.0,5554.0,,Balance Sheet
Buildings,1261.0,1272.0,1324.0,1379.0,1393.0,,Balance Sheet
Land/Improvements,163.0,159.0,174.0,171.0,152.0,,Balance Sheet
Machinery/Equipment,6692.0,6890.0,6757.0,7124.0,7298.0,,Balance Sheet
Construction in Progress,521.0,567.0,683.0,724.0,637.0,,Balance Sheet
Prop./Plant/Equip. - Gross,8637.0,8888.0,8938.0,9398.0,9480.0,,Balance Sheet
Accumulated Depreciation,-5717.0,-5836.0,-5779.0,-5901.0,-5906.0,,Balance Sheet
Prop./Plant/Equip. - Net,2920.0,3052.0,3159.0,3497.0,3574.0,,Balance Sheet
"Goodwill, Net",4824.0,5492.0,5651.0,5684.0,5740.0,,Balance Sheet
Intangibles - Gross,2240.0,2668.0,2731.0,2762.0,2806.0,,Balance Sheet
Accum. Intangible Amort.,-685.0,-789.0,-890.0,-1058.0,-1210.0,,Balance Sheet
Intangibles - Net,1555.0,1879.0,1841.0,1704.0,1596.0,,Balance Sheet
Note Rcvble - Long Term,964.0,12.0,,,,,Balance Sheet
Def. Inc. Tax - LT Asset,2144.0,2111.0,2141.0,2144.0,2776.0,,Balance Sheet
Disct. Ops. - LT Asset,,,257.0,0.0,,,Balance Sheet
Other Long Term Assets,297.0,287.0,428.0,1158.0,454.0,,Balance Sheet
Total Assets,20589.0,17608.0,19403.0,20386.0,19694.0,,Balance Sheet
Accounts Payable,1143.0,1090.0,1387.0,1548.0,1357.0,,Balance Sheet
Accrued Expenses,537.0,551.0,762.0,740.0,731.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,498.0,331.0,710.0,963.0,570.0,,Balance Sheet
Dividends Payable,260.0,263.0,281.0,303.0,308.0,,Balance Sheet
Customer Advances,185.0,208.0,27.0,27.0,36.0,,Balance Sheet
Income Taxes Payable,198.0,149.0,121.0,109.0,94.0,,Balance Sheet
