,TEL
% Below High,0.2401
% Held by Institutions,0.9351999999999999
52-Wk Range,['48.62 - 101.00']
Annual Dividend $,1.92
Annual Dividend %,0.0262
Ask,90.0
Ask Size,500.0
B/A Ratio,1.2
B/A Size,600x500
Beta,1.3
Bid,67.44
Bid Size,600.0
Closing Price,76.75
Day Change $,3.43
Day Change %,0.046799999999999994
Day High,77.17
Day Low,74.41
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",2.07
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.44200000000000006
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,25.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.14
Prev Close,73.32
Short Interest,0.013600000000000001
Today's Open,74.67
Volume,1668112.0
Volume 10-day Avg,1897375.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.40437158469945356
Growth 1yr High Est,-0.25270758122743686
Growth 1yr Consensus Est,-0.3285395829634452
Growth 2yr Low Est,-0.20065674036195924
Growth 2yr High Est,0.047559252864542545
Growth 2yr Consensus Est,-0.07654874374870835
Growth 5yr Low Est,-0.05960693041946963
Growth 5yr High Est,0.06450437767789127
Growth 5yr Consensus Est,0.002448723629210822
Growth 5yr Actual/Est,0.02422249870452786
Growth 3yr Historic,0.037698874016009576
Price/Earnings (TTM),37.13686
Price/Sales (TTM),1.93961
Price/Book (MRQ),2.80277
Price/Cash Flow (TTM),17.97999
5yr Low,48.62
5yr High,108.23
5yr Avg Return,0.04433333333333333
EPS Growth 5yr,0.08138260000000001
Revenue Growth 5yr,0.0235073
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,4541529.0
Short Int Prev Month,4851541.0
Short Int Pct of Float,0.0136242
Days to Cover,2.32319
Float,329.1955
Shares Outstanding,329.8479
Institutions Holding Shares,1028.0
FCF Growth 5yr,0.05181576467151381
"Price/Earnings (TTM, GAAP)",37.14
"PEG Ratio (TTM, GAAP)",3.75
Gross Profit Margin (TTM),0.3234
Operating Profit Margin (TTM),0.0781
Net Profit Margin (TTM),0.054000000000000006
Annual Dividend Yield,0.025
Dividend Change %,0.0714
"Dividend Growth Rate, 3 Years",0.0874
EPS Growth (MRQ),-20.828400000000002
EPS Growth (TTM),-0.7556
Revenue Growth (MRQ),0.0085
Revenue Growth (TTM),-0.0348
Return On Equity (TTM),0.07400000000000001
Return On Assets (TTM),0.0365
Return On Investment (TTM),0.045899999999999996
Revenue Per Employee (TTM),167333.0
Total Debt/Total Capital (MRQ),0.322
Change in Debt/Total Capital Quarter over Quarter,0.0009
Quick Ratio (MRQ),0.94
Interest Coverage (MRQ),86.5
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,3
cfra,4
theStreet,hold
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
cfra since,2018-07-14 00:00:00
theStreet since,2020-03-10 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
