,EBAY,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.14,96.14,Valuation,0.19908466819221968
Price/Sales (TTM),2.75,8.41,Valuation,0.3269916765755053
Price/Book (MRQ),13.71,16.87,Valuation,0.8126852400711322
"PEG Ratio (TTM, GAAP)",1.96,1.94,Valuation,1.0103092783505154
Gross Profit Margin (TTM),0.7690000000000001,0.39549999999999996,Profitability,1.944374209860936
Operating Profit Margin (TTM),0.2223,0.045899999999999996,Profitability,4.843137254901961
Net Profit Margin (TTM),0.16670000000000001,0.032799999999999996,Profitability,5.082317073170733
Annual Dividend Yield,0.015500000000000002,0.0005,Dividend,31.000000000000004
Dividend Change %,,0.0004,Dividend,
"Dividend Growth Rate, 3 Years",,0.0007000000000000001,Dividend,
EPS Growth (MRQ),-0.0654,-0.30350000000000005,Gowth rates,0.21548599670510704
EPS Growth (TTM),-0.0404,-0.49520000000000003,Gowth rates,0.08158319870759288
Revenue Growth (MRQ),-0.1585,0.24670000000000003,Gowth rates,-0.642480745845156
Revenue Growth (TTM),-0.0045000000000000005,0.2252,Gowth rates,-0.019982238010657193
Return On Equity (TTM),0.47990000000000005,0.1859,Effectiveness,2.581495427649274
Return On Assets (TTM),0.0851,0.0434,Effectiveness,1.9608294930875574
Return On Investment (TTM),0.1095,0.0703,Effectiveness,1.557610241820768
Revenue Per Employee (TTM),791805.0,389050.0,Effectiveness,2.0352268345970956
Total Debt/Total Capital (MRQ),0.8051,0.43710000000000004,Financial strength,1.8419126058110271
Change in Debt/Total Capital Quarter over Quarter,0.0011,-0.0006,Financial strength,-1.8333333333333337
Quick Ratio (MRQ),,0.81,Financial strength,
Interest Coverage (MRQ),,14.83,Financial strength,
