,EBAY
% Below High,0.0068000000000000005
% Held by Institutions,1.0415
52-Wk Range,['26.02 - 42.44']
Annual Dividend $,0.64
Annual Dividend %,0.0155
Ask,42.28
Ask Size,900.0
B/A Ratio,1.0
B/A Size,900x900
Beta,1.4
Bid,42.15
Bid Size,900.0
Closing Price,42.15
Day Change $,0.78
Day Change %,0.0189
Day High,42.44
Day Low,41.7
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.331
Last (size),10.0
Last (time),4:15p ET 05/08/20
Market Cap,29.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.14
Prev Close,41.37
Short Interest,0.0327
Today's Open,41.7
Volume,8946445.0
Volume 10-day Avg,13592028.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.007299270072992692
Growth 1yr High Est,0.16725978647686834
Growth 1yr Consensus Est,0.07998025820193783
Growth 2yr Low Est,0.025762129669385903
Growth 2yr High Est,0.1872884298238
Growth 2yr Consensus Est,0.10652527974659295
Growth 5yr Low Est,0.10595338862450557
Growth 5yr High Est,0.17510789012557526
Growth 5yr Consensus Est,0.1405306393750404
Growth 5yr Actual/Est,0.14384560639622407
Growth 3yr Historic,0.09495689655172412
Price/Earnings (TTM),19.14055
Price/Sales (TTM),2.75323
Price/Book (MRQ),13.71176
Price/Cash Flow (TTM),12.00592
5yr Low,21.52
5yr High,66.73
5yr Avg Return,0.0043833333333333285
EPS Growth 5yr,
Revenue Growth 5yr,0.042046200000000006
Dividend Growth 5yr,
Short Int Current Month,24847966.0
Short Int Prev Month,28474856.0
Short Int Pct of Float,0.0327223
Days to Cover,2.13567
Float,664.312
Shares Outstanding,700.8533
Institutions Holding Shares,1234.0
FCF Growth 5yr,-0.026825689881964654
"Price/Earnings (TTM, GAAP)",19.14
"PEG Ratio (TTM, GAAP)",1.96
Gross Profit Margin (TTM),0.7690000000000001
Operating Profit Margin (TTM),0.2223
Net Profit Margin (TTM),0.16670000000000001
Annual Dividend Yield,0.015500000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0654
EPS Growth (TTM),-0.0404
Revenue Growth (MRQ),-0.1585
Revenue Growth (TTM),-0.0045000000000000005
Return On Equity (TTM),0.47990000000000005
Return On Assets (TTM),0.0851
Return On Investment (TTM),0.1095
Revenue Per Employee (TTM),791805.0
Total Debt/Total Capital (MRQ),0.8051
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,long
marketEdge,-1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
cfra since,2019-07-19 00:00:00
theStreet since,2020-04-03 00:00:00
ford since,2020-03-20 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2017-06-05 00:00:00
