,ALXN
% Above Low,0.3395
% Held by Institutions,0.9120999999999999
52-Wk Range,['72.67 - 135.49']
Annual Dividend $,
Annual Dividend %,
Ask,98.09
Ask Size,100.0
Ask close,97.54
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,96.8
Bid Size,100.0
Bid close,97.27
Change Since Close,0.00| |(0.00%)
Closing Price,97.34
Day Change $,0.42
Day Change %,0.0043
Day High,98.49
Day Low,96.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.61
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),5.0
Last (time),4:00p ET 05/08/20
Last Trade,97.34
Market Cap,21.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.13
Prev Close,96.92
Short Interest,0.020499999999999997
Today's Open,98.11
Volume,2176373.0
Volume 10-day Avg,2527858.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.026548672566371723
Growth 1yr High Est,0.12582159624413136
Growth 1yr Consensus Est,0.07618513440525154
Growth 2yr Low Est,-0.09735784762486005
Growth 2yr High Est,0.1771726830261524
Growth 2yr Consensus Est,0.03990741770064618
Growth 5yr Low Est,0.13122797651615706
Growth 5yr High Est,0.2588855035717191
Growth 5yr Consensus Est,0.19505674004393808
Growth 5yr Actual/Est,0.19694465638870506
Growth 3yr Historic,0.17027032268073222
Price/Earnings (TTM),9.13266
Price/Sales (TTM),4.04166
Price/Book (MRQ),1.82409
Price/Cash Flow (TTM),7.80291
5yr Low,72.67
5yr High,208.88
5yr Avg Return,-0.06491666666666666
EPS Growth 5yr,0.2683672
Revenue Growth 5yr,0.17444590000000001
Dividend Growth 5yr,
Short Int Current Month,4540333.0
Short Int Prev Month,4438928.0
Short Int Pct of Float,0.020499800000000002
Days to Cover,2.04342
Float,220.1726
Shares Outstanding,220.8274
Institutions Holding Shares,967.0
FCF Growth 5yr,1.642049735865978
"Price/Earnings (TTM, GAAP)",9.13
"PEG Ratio (TTM, GAAP)",0.72
Gross Profit Margin (TTM),0.9206000000000001
Operating Profit Margin (TTM),0.43420000000000003
Net Profit Margin (TTM),0.4483
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.37170000000000003
EPS Growth (TTM),6.587400000000001
Revenue Growth (MRQ),0.0437
Revenue Growth (TTM),0.22
Return On Equity (TTM),0.2213
Return On Assets (TTM),0.1477
Return On Investment (TTM),0.1578
Revenue Per Employee (TTM),1718203.0
Total Debt/Total Capital (MRQ),0.17370000000000002
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),3.82
Interest Coverage (MRQ),23.64
newConstructs,1
researchTeam,hold
theStreet,hold
cfra,5
creditSuisse,outperform
ford,3
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2019-08-16 00:00:00
cfra since,2019-10-24 00:00:00
creditSuisse since,2016-07-28 00:00:00
ford since,2020-02-07 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
