,Industry,ORLY,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.3,22.6,Valuation,1.0134529147982063
Price/Sales (TTM),202.03,2.92,Valuation,0.014453299014997771
Price/Book (MRQ),30.14,274.39,Valuation,9.103848706038486
"PEG Ratio (TTM, GAAP)",1.1,1.69,Valuation,1.5363636363636362
Gross Profit Margin (TTM),0.3351,0.5297,Profitability,1.580722172485825
Operating Profit Margin (TTM),0.0725,0.1859,Profitability,2.564137931034483
Net Profit Margin (TTM),0.039900000000000005,0.1341,Profitability,3.3609022556390973
Annual Dividend Yield,0.0167,,Dividend,
Dividend Change %,0.17579999999999998,,Dividend,
"Dividend Growth Rate, 3 Years",0.16570000000000001,,Dividend,
EPS Growth (MRQ),0.33170000000000005,-0.0652,Gowth rates,-0.1965631594814591
EPS Growth (TTM),0.2023,0.0772,Gowth rates,0.3816114681166584
Revenue Growth (MRQ),0.0322,-0.0026000000000000003,Gowth rates,-0.08074534161490685
Revenue Growth (TTM),0.055999999999999994,0.0571,Gowth rates,1.0196428571428573
Return On Equity (TTM),0.5252,5.695399999999999,Effectiveness,10.844249809596343
Return On Assets (TTM),0.1512,0.1295,Effectiveness,0.8564814814814815
Return On Investment (TTM),0.2407,0.2243,Effectiveness,0.9318653926049024
Revenue Per Employee (TTM),323754.0,192176.0,Effectiveness,0.5935864885067057
Total Debt/Total Capital (MRQ),0.7842,0.9762000000000001,Financial strength,1.2448355011476664
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0017000000000000001,Financial strength,-2.125
Quick Ratio (MRQ),0.38,0.14,Financial strength,0.368421052631579
Interest Coverage (MRQ),13.86,10.94,Financial strength,0.7893217893217893
