,ORLY
% Below High,0.114
% Held by Institutions,0.8581
52-Wk Range,['251.52 - 454.31']
Annual Dividend $,
Annual Dividend %,
Ask,406.97
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.0
Bid,397.97
Bid Size,500.0
Closing Price,402.51
Day Change $,16.06
Day Change %,0.0416
Day High,405.35
Day Low,393.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",17.81
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,29.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.6
Prev Close,386.45
Short Interest,0.019799999999999998
Today's Open,394.13
Volume,641381.0
Volume 10-day Avg,668056.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.20246775098149172
Growth 1yr High Est,0.054293628808864236
Growth 1yr Consensus Est,-0.07408706108631374
Growth 2yr Low Est,0.04996162380601926
Growth 2yr High Est,0.08153462312750093
Growth 2yr Consensus Est,0.0657481234667601
Growth 5yr Low Est,0.14201618056044427
Growth 5yr High Est,0.1561570423649526
Growth 5yr Consensus Est,0.14908661146269842
Growth 5yr Actual/Est,0.14089931377686352
Growth 3yr Historic,0.11166464781835517
Price/Earnings (TTM),22.59671
Price/Sales (TTM),2.92349
Price/Book (MRQ),274.3922
Price/Cash Flow (TTM),18.0874
5yr Low,169.43
5yr High,454.31
5yr Avg Return,0.12949999999999998
EPS Growth 5yr,0.1949895
Revenue Growth 5yr,0.0706137
Dividend Growth 5yr,
Short Int Current Month,1468284.0
Short Int Prev Month,1236876.0
Short Int Pct of Float,0.0197628
Days to Cover,1.76177
Float,72.93742
Shares Outstanding,74.19926
Institutions Holding Shares,1152.0
FCF Growth 5yr,0.04104900532340856
"Price/Earnings (TTM, GAAP)",22.6
"PEG Ratio (TTM, GAAP)",1.69
Gross Profit Margin (TTM),0.5297
Operating Profit Margin (TTM),0.1859
Net Profit Margin (TTM),0.1341
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0652
EPS Growth (TTM),0.0772
Revenue Growth (MRQ),-0.0026000000000000003
Revenue Growth (TTM),0.0571
Return On Equity (TTM),5.695399999999999
Return On Assets (TTM),0.1295
Return On Investment (TTM),0.2243
Revenue Per Employee (TTM),192176.0
Total Debt/Total Capital (MRQ),0.9762000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),0.14
Interest Coverage (MRQ),10.94
newConstructs,2
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,5
ford,3
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-01-06 00:00:00
cfra since,2019-07-16 00:00:00
ford since,2020-02-07 00:00:00
creditSuisse since,2017-07-06 00:00:00
