,IR
% Below High,0.25129999999999997
% Held by Institutions,0.5962
52-Wk Range,"['17.01', ' - ', '38.96']"
Annual Dividend $,
Annual Dividend %,
Ask,29.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,28.8
Bid Size,100.0
Closing Price,29.17
Day Change $,1.49
Day Change %,0.0538
Day High,29.19
Day Low,27.95
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.76
Ex-dividend Date,No dividend
Historical Volatility,0.474
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,12.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,27.68
Short Interest,0.041100000000000005
Today's Open,28.21
Volume,1869989.0
Volume 10-day Avg,2227057.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-12 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.4025974025974026
Growth 1yr High Est,-0.16455696202531644
Growth 1yr Consensus Est,-0.28357718231135953
Growth 2yr Low Est,0.05957086391868993
Growth 2yr High Est,0.08817606444188719
Growth 2yr Consensus Est,0.07387346418028856
Growth 5yr Low Est,0.12141794562054717
Growth 5yr High Est,0.09341014535792355
Growth 5yr Consensus Est,0.10741404548923536
Growth 5yr Actual/Est,0.08343085111953039
Growth 3yr Historic,0.06827200577200576
Price/Earnings (TTM),36.33404
Price/Sales (TTM),4.70264
Price/Book (MRQ),3.03557
Price/Cash Flow (TTM),34.19458
5yr Low,17.01
5yr High,38.96
5yr Avg Return,0.20447500000000002
EPS Growth 5yr,
Revenue Growth 5yr,-0.0093648
Dividend Growth 5yr,
Short Int Current Month,14139773.0
Short Int Prev Month,10570306.0
Short Int Pct of Float,0.0411341
Days to Cover,3.56207
Float,344.4028
Shares Outstanding,416.5612
Institutions Holding Shares,476.0
FCF Growth 5yr,0.1468499580288868
"Price/Earnings (TTM, GAAP)",36.33
"PEG Ratio (TTM, GAAP)",2.39
Gross Profit Margin (TTM),0.3718
Operating Profit Margin (TTM),0.11220000000000001
Net Profit Margin (TTM),0.06480000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3801
EPS Growth (TTM),-0.06420000000000001
Revenue Growth (MRQ),0.015300000000000001
Revenue Growth (TTM),-0.0884
Return On Equity (TTM),0.0897
Return On Assets (TTM),0.0349
Return On Investment (TTM),0.04
Revenue Per Employee (TTM),371500.0
Total Debt/Total Capital (MRQ),0.4629
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),1.81
Interest Coverage (MRQ),5.96
newConstructs,4
researchTeam,hold
theStreet,hold
ford,3
cfra,
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2018-08-03 00:00:00
theStreet since,2020-03-01 00:00:00
ford since,2020-04-09 00:00:00
cfra since,
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-01-06 00:00:00
