,COST
Price/Earnings (TTM),36.08212
Price/Sales (TTM),0.85053
Price/Book (MRQ),8.1073
Price/Cash Flow (TTM),25.1038
5yr Low,117.03
5yr High,325.26
5yr Avg Return,0.14406666666666668
EPS Growth 5yr,0.11410819999999999
Revenue Growth 5yr,0.06274969999999999
Dividend Growth 5yr,0.1292804
Short Int Current Month,4760643.0
Short Int Prev Month,4864814.0
Short Int Pct of Float,0.0108113
Days to Cover,1.28692
Float,440.5787
Shares Outstanding,441.58
Institutions Holding Shares,2425.0
% Held by Institutions,0.6826009999999999
FCF Growth 5yr,0.9540538602939164
