,COST
% Below High,0.0594
% Held by Institutions,0.6826000000000001
52-Wk Range,['233.05 - 325.26']
Annual Dividend $,2.8
Annual Dividend %,0.0092
Ask,305.53
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,0.7
Bid,305.15
Bid Size,100.0
Closing Price,305.94
Day Change $,0.94
Day Change %,0.0031
Day High,307.18
Day Low,303.7
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",8.45
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.281
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,135.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.08
Prev Close,305.0
Short Interest,0.0108
Today's Open,305.9
Volume,2339313.0
Volume 10-day Avg,2635637.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.010037641154328703
Growth 1yr High Est,0.08700834326579243
Growth 1yr Consensus Est,0.038485351055731865
Growth 2yr Low Est,0.025399430373405918
Growth 2yr High Est,0.11367961022938755
Growth 2yr Consensus Est,0.06953952030139673
Growth 5yr Low Est,0.1053458899396684
Growth 5yr High Est,0.1487976698709726
Growth 5yr Consensus Est,0.12707177990532048
Growth 5yr Actual/Est,0.1273477222416498
Growth 3yr Historic,0.09334028858224397
Price/Earnings (TTM),36.08212
Price/Sales (TTM),0.85053
Price/Book (MRQ),8.1073
Price/Cash Flow (TTM),25.1038
5yr Low,117.03
5yr High,325.26
5yr Avg Return,0.14406666666666668
EPS Growth 5yr,0.11410819999999999
Revenue Growth 5yr,0.06274969999999999
Dividend Growth 5yr,0.1292804
Short Int Current Month,4760643.0
Short Int Prev Month,4864814.0
Short Int Pct of Float,0.0108113
Days to Cover,1.28692
Float,440.5787
Shares Outstanding,441.58
Institutions Holding Shares,2425.0
FCF Growth 5yr,0.9540538602939164
"Price/Earnings (TTM, GAAP)",36.08
"PEG Ratio (TTM, GAAP)",5.56
Gross Profit Margin (TTM),0.12960000000000002
Operating Profit Margin (TTM),0.031000000000000003
Net Profit Margin (TTM),0.024
Annual Dividend Yield,0.0092
Dividend Change %,0.1401
"Dividend Growth Rate, 3 Years",0.1267
EPS Growth (MRQ),0.1039
EPS Growth (TTM),0.11539999999999999
Revenue Growth (MRQ),0.054900000000000004
Revenue Growth (TTM),0.0755
Return On Equity (TTM),0.2459
Return On Assets (TTM),0.08289999999999999
Return On Investment (TTM),0.1661
Revenue Per Employee (TTM),1062752.0
Total Debt/Total Capital (MRQ),0.266
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),0.52
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
creditSuisse,neutral
cfra,4
theStreet,hold
ford,2
marketEdge opinion,long
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
creditSuisse since,2020-02-13 00:00:00
cfra since,2019-12-10 00:00:00
theStreet since,2019-01-17 00:00:00
ford since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
