,FTV
% Above Low,0.5886
% Held by Institutions,0.8345
52-Wk Range,['37.31 - 83.18']
Annual Dividend $,0.28
Annual Dividend %,0.0048
Ask,62.27
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,59.45
Bid Size,300.0
Closing Price,59.27
Day Change $,1.34
Day Change %,0.0231
Day High,59.52
Day Low,58.12
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.43100000000000005
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,20.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.85
Prev Close,57.93
Short Interest,0.026699999999999998
Today's Open,58.55
Volume,3084647.0
Volume 10-day Avg,2427109.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.20118343195266264
Growth 1yr High Est,-0.09826589595375723
Growth 1yr Consensus Est,-0.14972466395320994
Growth 2yr Low Est,-0.01725838264299806
Growth 2yr High Est,0.09670038535645475
Growth 2yr Consensus Est,0.03972100135672835
Growth 5yr Low Est,0.03633136443029655
Growth 5yr High Est,0.09701033018284161
Growth 5yr Consensus Est,0.06667084730656908
Growth 5yr Actual/Est,0.06113282026806666
Growth 3yr Historic,0.04901960784313725
Price/Earnings (TTM),36.85185
Price/Sales (TTM),2.62265
Price/Book (MRQ),2.69408
Price/Cash Flow (TTM),19.58065
5yr Low,37.31
5yr High,89.48
5yr Avg Return,0.08662
EPS Growth 5yr,-0.0554401
Revenue Growth 5yr,0.0292544
Dividend Growth 5yr,
Short Int Current Month,7887243.0
Short Int Prev Month,6962683.0
Short Int Pct of Float,0.026684199999999998
Days to Cover,3.75562
Float,302.9626
Shares Outstanding,336.8561
Institutions Holding Shares,1014.0
FCF Growth 5yr,-0.019710702704258565
"Price/Earnings (TTM, GAAP)",36.85
"PEG Ratio (TTM, GAAP)",4.94
Gross Profit Margin (TTM),0.5031
Operating Profit Margin (TTM),0.1273
Net Profit Margin (TTM),0.08109999999999999
Annual Dividend Yield,0.0048
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.25989999999999996
EPS Growth (MRQ),-0.8449
EPS Growth (TTM),-0.1832
Revenue Growth (MRQ),-0.1443
Revenue Growth (TTM),0.2803
Return On Equity (TTM),0.0759
Return On Assets (TTM),0.0371
Return On Investment (TTM),0.0434
Revenue Per Employee (TTM),297624.0
Total Debt/Total Capital (MRQ),0.4558
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.32
Interest Coverage (MRQ),4.7
newConstructs,4
researchTeam,hold
creditSuisse,outperform
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
creditSuisse since,2019-12-09 00:00:00
theStreet since,2020-03-10 00:00:00
cfra since,2017-08-07 00:00:00
ford since,2019-05-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
