,Industry,MRK,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",34.87,19.02,Valuation,0.5454545454545455
Price/Sales (TTM),9.71,3.97,Valuation,0.40885684860968075
Price/Book (MRQ),9.98,7.28,Valuation,0.7294589178356713
"PEG Ratio (TTM, GAAP)",43.48,3.17,Valuation,0.07290708371665133
Gross Profit Margin (TTM),0.6765000000000001,0.7217,Profitability,1.0668144863266813
Operating Profit Margin (TTM),-0.5029,0.2549,Profitability,-0.5068602107774905
Net Profit Margin (TTM),-0.5135000000000001,0.2118,Profitability,-0.41246348588120735
Annual Dividend Yield,0.0255,0.0323,Dividend,1.2666666666666668
Dividend Change %,0.0804,0.13570000000000002,Dividend,1.687810945273632
"Dividend Growth Rate, 3 Years",0.058499999999999996,0.0709,Dividend,1.211965811965812
EPS Growth (MRQ),0.047,0.3442,Gowth rates,7.323404255319149
EPS Growth (TTM),0.008,0.20079999999999998,Gowth rates,25.099999999999998
Revenue Growth (MRQ),0.449,0.0159,Gowth rates,0.03541202672605791
Revenue Growth (TTM),0.11900000000000001,0.11630000000000001,Gowth rates,0.977310924369748
Return On Equity (TTM),0.34759999999999996,0.37939999999999996,Effectiveness,1.0914844649021864
Return On Assets (TTM),0.053700000000000005,0.1218,Effectiveness,2.2681564245810053
Return On Investment (TTM),0.0724,0.1629,Effectiveness,2.2499999999999996
Revenue Per Employee (TTM),716037.0,677211.0,Effectiveness,0.9457765450668052
Total Debt/Total Capital (MRQ),0.3911,0.5156000000000001,Financial strength,1.3183329071848633
Change in Debt/Total Capital Quarter over Quarter,0.001,0.0003,Financial strength,0.3
Quick Ratio (MRQ),1.0,0.87,Financial strength,0.87
Interest Coverage (MRQ),11.9,24.75,Financial strength,2.079831932773109
