,MRK
Price/Earnings (TTM),19.01963
Price/Sales (TTM),3.96868
Price/Book (MRQ),7.28164
Price/Cash Flow (TTM),13.8699
5yr Low,45.69
5yr High,92.64
5yr Avg Return,0.05849999999999999
EPS Growth 5yr,-0.0105657
Revenue Growth 5yr,0.0209037
Dividend Growth 5yr,0.0512818
Short Int Current Month,20611316.0
Short Int Prev Month,18264033.0
Short Int Pct of Float,0.0081697
Days to Cover,2.06228
Float,2523.135
Shares Outstanding,2524.101
Institutions Holding Shares,3161.0
% Held by Institutions,0.754105
FCF Growth 5yr,0.06578656387412304
