,MRK
% Above Low,0.1709
% Held by Institutions,0.7541
52-Wk Range,['65.25 - 92.64']
Annual Dividend $,2.44
Annual Dividend %,0.0323
Ask,76.9
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,0.5
Bid,76.45
Bid Size,1000.0
Closing Price,76.4
Day Change $,0.8
Day Change %,0.0106
Day High,76.96
Day Low,75.97
Dividend Pay Date,2020-04-07 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.312
Last (size),45.0
Last (time),6:30p ET 05/08/20
Market Cap,192.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.02
Prev Close,75.6
Short Interest,0.008199999999999999
Today's Open,76.5
Volume,8389200.0
Volume 10-day Avg,10899668.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.009765625
Growth 1yr High Est,0.024667931688804767
Growth 1yr Consensus Est,0.017216778344402384
Growth 2yr Low Est,0.03679770611702127
Growth 2yr High Est,0.10400063251106895
Growth 2yr Consensus Est,0.0703991693140451
Growth 5yr Low Est,0.09106382661862483
Growth 5yr High Est,0.12867664731975176
Growth 5yr Consensus Est,0.1098702369691883
Growth 5yr Actual/Est,0.11225220871016073
Growth 3yr Historic,0.0715761989671862
Price/Earnings (TTM),19.01963
Price/Sales (TTM),3.96868
Price/Book (MRQ),7.28164
Price/Cash Flow (TTM),13.8699
5yr Low,45.69
5yr High,92.64
5yr Avg Return,0.05849999999999999
EPS Growth 5yr,-0.0105657
Revenue Growth 5yr,0.0209037
Dividend Growth 5yr,0.0512818
Short Int Current Month,20611316.0
Short Int Prev Month,18264033.0
Short Int Pct of Float,0.0081697
Days to Cover,2.06228
Float,2523.135
Shares Outstanding,2524.101
Institutions Holding Shares,3161.0
FCF Growth 5yr,0.06578656387412304
"Price/Earnings (TTM, GAAP)",19.02
"PEG Ratio (TTM, GAAP)",3.17
Gross Profit Margin (TTM),0.7217
Operating Profit Margin (TTM),0.2549
Net Profit Margin (TTM),0.2118
Annual Dividend Yield,0.0323
Dividend Change %,0.13570000000000002
"Dividend Growth Rate, 3 Years",0.0709
EPS Growth (MRQ),0.3442
EPS Growth (TTM),0.20079999999999998
Revenue Growth (MRQ),0.0159
Revenue Growth (TTM),0.11630000000000001
Return On Equity (TTM),0.37939999999999996
Return On Assets (TTM),0.1218
Return On Investment (TTM),0.1629
Revenue Per Employee (TTM),677211.0
Total Debt/Total Capital (MRQ),0.5156000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.87
Interest Coverage (MRQ),24.75
newConstructs,2
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,1
theStreet,buy
cfra,5
ford,3
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2018-06-11 00:00:00
cfra since,2019-10-30 00:00:00
ford since,2020-03-13 00:00:00
creditSuisse since,
