,PWR
% Below High,0.2207
% Held by Institutions,0.9795999999999999
52-Wk Range,['23.77 - 44.09']
Annual Dividend $,0.2
Annual Dividend %,0.006
Ask,39.15
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,33.07
Bid Size,100.0
Closing Price,34.36
Day Change $,1.15
Day Change %,0.0346
Day High,34.5
Day Low,33.63
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",2.17
Ex-dividend,2020-04-03 00:00:00
Ex-dividend Date,04/03/20
Historical Volatility,0.443
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.87
Prev Close,33.21
Short Interest,0.0525
Today's Open,33.66
Volume,1381336.0
Volume 10-day Avg,1471382.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.08517350157728709
Growth 1yr High Est,0.14589665653495443
Growth 1yr Consensus Est,0.030361577478833668
Growth 2yr Low Est,0.047068421625149515
Growth 2yr High Est,0.12334620625156212
Growth 2yr Consensus Est,0.08520731393835582
Growth 5yr Low Est,0.1672261111478384
Growth 5yr High Est,0.2089584566611346
Growth 5yr Consensus Est,0.18809228390448648
Growth 5yr Actual/Est,0.19007873712590678
Growth 3yr Historic,0.15286232996730315
Price/Earnings (TTM),15.86693
Price/Sales (TTM),0.39198
Price/Book (MRQ),1.24839
Price/Cash Flow (TTM),7.69338
5yr Low,16.77
5yr High,44.09
5yr Avg Return,0.0898166666666667
EPS Growth 5yr,0.1733177
Revenue Growth 5yr,0.0934904
Dividend Growth 5yr,
Short Int Current Month,7416051.0
Short Int Prev Month,6544755.0
Short Int Pct of Float,0.052529599999999996
Days to Cover,5.48699
Float,136.3479
Shares Outstanding,137.6822
Institutions Holding Shares,603.0
FCF Growth 5yr,0.5433055806067256
"Price/Earnings (TTM, GAAP)",15.87
"PEG Ratio (TTM, GAAP)",1.81
Gross Profit Margin (TTM),0.13
Operating Profit Margin (TTM),0.042800000000000005
Net Profit Margin (TTM),0.0271
Annual Dividend Yield,0.0058
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6678000000000001
EPS Growth (TTM),-0.11539999999999999
Revenue Growth (MRQ),-0.11199999999999999
Revenue Growth (TTM),0.043899999999999995
Return On Equity (TTM),0.0852
Return On Assets (TTM),0.0412
Return On Investment (TTM),0.0546
Revenue Per Employee (TTM),1231530.0
Total Debt/Total Capital (MRQ),0.30469999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),1.75
Interest Coverage (MRQ),5.33
theStreet,hold
newConstructs,3
researchTeam,hold
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
cfra,4
ford,3
theStreet since,2020-03-19 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
creditSuisse since,2007-11-09 00:00:00
cfra since,2015-10-17 00:00:00
ford since,2020-01-10 00:00:00
