,ZBH
% Below High,0.24359999999999998
% Held by Institutions,0.9273
52-Wk Range,['74.37 - 161.11']
Annual Dividend $,0.96
Annual Dividend %,0.008
Ask,136.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,121.8
Bid Size,100.0
Closing Price,121.86
Day Change $,2.46
Day Change %,0.0206
Day High,121.86
Day Low,119.5
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",5.47
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.433
Last (size),170.0
Last (time),6:30p ET 05/08/20
Market Cap,25.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.28
Prev Close,119.4
Short Interest,0.013000000000000001
Today's Open,120.99
Volume,1465575.0
Volume 10-day Avg,1362890.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,29.0
Growth 1yr Low Est,-0.891025641025641
Growth 1yr High Est,-0.04309252217997461
Growth 1yr Consensus Est,-0.4670590816028078
Growth 2yr Low Est,2.33684012066365
Growth 2yr High Est,0.05130142102921803
Growth 2yr Consensus Est,1.1940707708464342
Growth 5yr Low Est,1.1631712215903214
Growth 5yr High Est,0.020653288581703177
Growth 5yr Consensus Est,0.5919122550860123
Growth 5yr Actual/Est,0.0680499423261326
Growth 3yr Historic,-0.00461578961094844
Price/Earnings (TTM),22.28032
Price/Sales (TTM),3.1553
Price/Book (MRQ),2.02639
Price/Cash Flow (TTM),11.78248
5yr Low,74.37
5yr High,161.11
5yr Avg Return,0.036266666666666676
EPS Growth 5yr,0.0546827
Revenue Growth 5yr,0.1130119
Dividend Growth 5yr,0.0175546
Short Int Current Month,2682581.0
Short Int Prev Month,2225533.0
Short Int Pct of Float,0.0130067
Days to Cover,1.34166
Float,206.2735
Shares Outstanding,206.6816
Institutions Holding Shares,1237.0
FCF Growth 5yr,0.3455809550344111
"Price/Earnings (TTM, GAAP)",22.28
"PEG Ratio (TTM, GAAP)",3.71
Gross Profit Margin (TTM),0.713
Operating Profit Margin (TTM),0.14250000000000002
Net Profit Margin (TTM),0.1418
Annual Dividend Yield,0.0079
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.2593
EPS Growth (TTM),3.9943
Revenue Growth (MRQ),0.1233
Revenue Growth (TTM),0.0062
Return On Equity (TTM),0.09570000000000001
Return On Assets (TTM),0.0464
Return On Investment (TTM),0.05280000000000001
Revenue Per Employee (TTM),401116.0
Total Debt/Total Capital (MRQ),0.3986
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),197.9
newConstructs,3
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,hold
cfra,3
ford,3
creditSuisse,underperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-03-13 00:00:00
cfra since,2020-03-07 00:00:00
ford since,2020-03-27 00:00:00
creditSuisse since,2018-12-17 00:00:00
