,ANET
% Above Low,0.39189999999999997
% Held by Institutions,0.6137
52-Wk Range,['156.63 - 289.45']
Annual Dividend $,
Annual Dividend %,
Ask,220.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,214.2
Bid Size,100.0
Change Since Close,-0.01| |(0.00%)
Closing Price,218.01
Day Change $,7.58
Day Change %,0.036000000000000004
Day High,218.77
Day Low,211.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.89
Ex-dividend Date,No dividend
Historical Volatility,0.54
Last (size),2.0
Last (time),6:30p ET 05/08/20
Last Trade,218.0
Market Cap,16.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",21.27
Prev Close,210.43
Short Interest,0.0489
Today's Open,213.28
Volume,1084784.0
Volume 10-day Avg,1004492.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,-0.15311510031679
Growth 1yr High Est,-0.0520291363163371
Growth 1yr Consensus Est,-0.10257211831656354
Growth 2yr Low Est,-0.037904183574853756
Growth 2yr High Est,0.08210837366400497
Growth 2yr Consensus Est,0.02210209504457561
Growth 5yr Low Est,0.05620229198382509
Growth 5yr High Est,0.12791996484537724
Growth 5yr Consensus Est,0.09206112841460116
Growth 5yr Actual/Est,0.16088326467644098
Growth 3yr Historic,0.15937194887091422
Price/Earnings (TTM),21.27242
Price/Sales (TTM),6.81282
Price/Book (MRQ),5.5883
Price/Cash Flow (TTM),19.14807
5yr Low,52.51
5yr High,331.27
5yr Avg Return,0.29750000000000004
EPS Growth 5yr,0.5246173000000001
Revenue Growth 5yr,0.32779339999999996
Dividend Growth 5yr,
Short Int Current Month,2642935.0
Short Int Prev Month,2172900.0
Short Int Pct of Float,0.0488825
Days to Cover,3.30366
Float,54.12687
Shares Outstanding,75.70452
Institutions Holding Shares,731.0
FCF Growth 5yr,0.6975774413251548
"Price/Earnings (TTM, GAAP)",21.27
"PEG Ratio (TTM, GAAP)",2.69
Gross Profit Margin (TTM),0.6424
Operating Profit Margin (TTM),0.32549999999999996
Net Profit Margin (TTM),0.341
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.467
EPS Growth (TTM),1.128
Revenue Growth (MRQ),-0.0534
Revenue Growth (TTM),0.0281
Return On Equity (TTM),0.3037
Return On Assets (TTM),0.21420000000000003
Return On Investment (TTM),0.252
Revenue Per Employee (TTM),1016657.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),5.34
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
cfra,3
theStreet,buy
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-11-01 00:00:00
cfra since,2019-11-01 00:00:00
theStreet since,2016-06-07 00:00:00
creditSuisse since,2019-11-01 00:00:00
ford since,2019-11-08 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
