,ATVI
% Below High,0.022099999999999998
% Held by Institutions,0.9081
52-Wk Range,['41.84 - 74.80']
Annual Dividend $,0.41
Annual Dividend %,0.005600000000000001
Ask,73.19
Ask Size,300.0
Ask close,73.16
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.6
Bid,73.01
Bid Size,100.0
Bid close,73.11
Change Since Close,-0.10| |(-0.14%)
Closing Price,73.14
Day Change $,0.04
Day Change %,0.0005
Day High,74.0
Day Low,72.51
Dividend Pay Date,2020-05-06 00:00:00
"EPS (TTM, GAAP)",2.02
Ex-dividend,2020-04-14 00:00:00
Ex-dividend Date,04/14/20
Historical Volatility,0.392
Last (size),50.0
Last (time),4:15p ET 05/08/20
Last Trade,73.04
Market Cap,56.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.16
Prev Close,73.1
Short Interest,0.0208
Today's Open,73.18
Volume,6088430.0
Volume 10-day Avg,9509956.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,0.19907407407407396
Growth 1yr High Est,0.3728070175438598
Growth 1yr Consensus Est,0.2859405458089669
Growth 2yr Low Est,0.13042506792506792
Growth 2yr High Est,0.3173939241073932
Growth 2yr Consensus Est,0.22390949601623056
Growth 5yr Low Est,0.07179244064086582
Growth 5yr High Est,0.15158911891644172
Growth 5yr Consensus Est,0.11169077977865377
Growth 5yr Actual/Est,0.08608033779086413
Growth 3yr Historic,0.0014338731443994945
Price/Earnings (TTM),36.16484
Price/Sales (TTM),8.72946
Price/Book (MRQ),4.32472
Price/Cash Flow (TTM),27.09114
5yr Low,24.04
5yr High,84.68
5yr Avg Return,0.2503166666666667
EPS Growth 5yr,0.108132
Revenue Growth 5yr,0.08040660000000001
Dividend Growth 5yr,0.1309264
Short Int Current Month,15738620.0
Short Int Prev Month,17751490.0
Short Int Pct of Float,0.020751
Days to Cover,2.00803
Float,759.8948
Shares Outstanding,770.4855
Institutions Holding Shares,1373.0
FCF Growth 5yr,0.1453818590371228
"Price/Earnings (TTM, GAAP)",36.16
"PEG Ratio (TTM, GAAP)",1.58
Gross Profit Margin (TTM),0.6843000000000001
Operating Profit Margin (TTM),0.2556
Net Profit Margin (TTM),0.2421
Annual Dividend Yield,0.005600000000000001
Dividend Change %,0.0882
"Dividend Growth Rate, 3 Years",0.12480000000000001
EPS Growth (MRQ),-0.0381
EPS Growth (TTM),0.0703
Revenue Growth (MRQ),-0.09970000000000001
Revenue Growth (TTM),-0.1233
Return On Equity (TTM),0.12689999999999999
Return On Assets (TTM),0.08320000000000001
Return On Investment (TTM),0.09550000000000002
Revenue Per Employee (TTM),701304.0
Total Debt/Total Capital (MRQ),0.1704
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),42.33
newConstructs,3
researchTeam,accumulate
cfra,4
theStreet,buy
creditSuisse,outperform
ford,2
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2020-03-27 00:00:00
theStreet since,2019-08-14 00:00:00
creditSuisse since,2012-10-10 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
