,MA
% Below High,0.1866
% Held by Institutions,0.7639
52-Wk Range,['199.99 - 347.25']
Annual Dividend $,1.6
Annual Dividend %,0.005699999999999999
Ask,283.0
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,282.51
Bid Size,300.0
Closing Price,282.44
Day Change $,3.97
Day Change %,0.0143
Day High,283.42
Day Low,279.5
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",7.79
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.449
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,283.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",35.75
Prev Close,278.47
Short Interest,0.0078000000000000005
Today's Open,283.4
Volume,3217825.0
Volume 10-day Avg,4566175.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.3315719947159842
Growth 1yr High Est,-0.017721518987341867
Growth 1yr Consensus Est,-0.17464675685166303
Growth 2yr Low Est,0.001210050072837976
Growth 2yr High Est,0.13224748792900942
Growth 2yr Consensus Est,0.0667287690009237
Growth 5yr Low Est,0.15431939514423168
Growth 5yr High Est,0.21584215500741016
Growth 5yr Consensus Est,0.18508077507582094
Growth 5yr Actual/Est,0.1963624802821082
Growth 3yr Historic,0.15356426749920937
Price/Earnings (TTM),35.74996
Price/Sales (TTM),16.26372
Price/Book (MRQ),51.79398
Price/Cash Flow (TTM),32.64456
5yr Low,74.61
5yr High,347.25
5yr Avg Return,0.22693333333333332
EPS Growth 5yr,0.20671130000000001
Revenue Growth 5yr,0.1232756
Dividend Growth 5yr,0.2457309
Short Int Current Month,6872677.0
Short Int Prev Month,6531662.0
Short Int Pct of Float,0.0078063
Days to Cover,1.13896
Float,868.5082
Shares Outstanding,993.0407
Institutions Holding Shares,2811.0
FCF Growth 5yr,0.15168618131274908
"Price/Earnings (TTM, GAAP)",35.75
"PEG Ratio (TTM, GAAP)",2.52
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5683
Net Profit Margin (TTM),0.46590000000000004
Annual Dividend Yield,0.005699999999999999
Dividend Change %,0.32
"Dividend Growth Rate, 3 Years",0.20199999999999999
EPS Growth (MRQ),-0.1809
EPS Growth (TTM),0.317
Revenue Growth (MRQ),-0.09179999999999999
Revenue Growth (TTM),0.1143
Return On Equity (TTM),1.4994999999999998
Return On Assets (TTM),0.2925
Return On Investment (TTM),0.4658
Revenue Per Employee (TTM),914140.0
Total Debt/Total Capital (MRQ),0.6939000000000001
Change in Debt/Total Capital Quarter over Quarter,0.005200000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),30.26
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,buy
cfra,4
ford,3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2009-07-31 00:00:00
cfra since,2019-07-10 00:00:00
ford since,2020-01-31 00:00:00
creditSuisse since,2009-10-12 00:00:00
