,MKC
% Below High,0.0605
% Held by Institutions,0.8183
52-Wk Range,['112.23 - 174.58']
Annual Dividend $,2.48
Annual Dividend %,0.0154
Ask,164.84
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,154.55
Bid Size,100.0
Closing Price,164.03
Day Change $,3.17
Day Change %,0.0197
Day High,164.59
Day Low,161.13
Dividend Pay Date,2020-04-27 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2020-04-09 00:00:00
Ex-dividend Date,04/09/20
Historical Volatility,0.37200000000000005
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,21.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.94
Prev Close,160.86
Short Interest,0.0274
Today's Open,162.5
Volume,533685.0
Volume 10-day Avg,663214.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.06779661016949146
Growth 1yr High Est,-0.003696857670979714
Growth 1yr Consensus Est,-0.035746733920235585
Growth 2yr Low Est,-0.006625577812018502
Growth 2yr High Est,0.025980884708109442
Growth 2yr Consensus Est,0.00967765344804547
Growth 5yr Low Est,0.060271060889971945
Growth 5yr High Est,0.07799102246775702
Growth 5yr Consensus Est,0.06913104167886448
Growth 5yr Actual/Est,0.06486541292303916
Growth 3yr Historic,0.060781354795439335
Price/Earnings (TTM),30.93592
Price/Sales (TTM),4.01117
Price/Book (MRQ),6.00194
Price/Cash Flow (TTM),26.15486
5yr Low,75.68
5yr High,174.58
5yr Avg Return,0.14511666666666664
EPS Growth 5yr,0.0936083
Revenue Growth 5yr,0.0473452
Dividend Growth 5yr,0.09027139999999999
Short Int Current Month,3382703.0
Short Int Prev Month,3070734.0
Short Int Pct of Float,0.027377500000000003
Days to Cover,3.92461
Float,130.6461
Shares Outstanding,132.9039
Institutions Holding Shares,1112.0
FCF Growth 5yr,0.11249201834713415
"Price/Earnings (TTM, GAAP)",30.94
"PEG Ratio (TTM, GAAP)",11.05
Gross Profit Margin (TTM),0.4032
Operating Profit Margin (TTM),0.17920000000000003
Net Profit Margin (TTM),0.1233
Annual Dividend Yield,0.0154
Dividend Change %,0.0962
"Dividend Growth Rate, 3 Years",0.0985
EPS Growth (MRQ),-0.3214
EPS Growth (TTM),0.0588
Revenue Growth (MRQ),-0.1837
Revenue Growth (TTM),0.0017000000000000001
Return On Equity (TTM),0.2025
Return On Assets (TTM),0.0634
Return On Investment (TTM),0.0782
Revenue Per Employee (TTM),429669.0
Total Debt/Total Capital (MRQ),0.5540999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),0.33
Interest Coverage (MRQ),5.86
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,0
theStreet,buy
cfra,3
ford,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2007-12-13 00:00:00
cfra since,2019-01-24 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2018-11-09 00:00:00
