,MKC
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.06779661016949146
Growth 1yr High Est,-0.003696857670979714
Growth 1yr Consensus Est,-0.035746733920235585
Growth 2yr Low Est,-0.006625577812018502
Growth 2yr High Est,0.025980884708109442
Growth 2yr Consensus Est,0.00967765344804547
Growth 5yr Low Est,0.060271060889971945
Growth 5yr High Est,0.07799102246775702
Growth 5yr Consensus Est,0.06913104167886448
Growth 5yr Actual/Est,0.06486541292303916
Growth 3yr Historic,0.060781354795439335
