,KHC
% Below High,0.1158
% Held by Institutions,1.0346
52-Wk Range,['19.99 - 33.43']
Annual Dividend $,1.6
Annual Dividend %,0.0555
Ask,29.66
Ask Size,900.0
B/A Ratio,0.5555555555555556
B/A Size,500x900
Beta,1.0
Bid,29.56
Bid Size,500.0
Closing Price,29.56
Day Change $,0.73
Day Change %,0.0253
Day High,29.67
Day Low,28.93
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",1.56
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.441
Last (size),1.0
Last (time),4:00p ET 05/08/20
Market Cap,36.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.47
Prev Close,28.83
Short Interest,0.055999999999999994
Today's Open,29.09
Volume,5297448.0
Volume 10-day Avg,6874935.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.18081180811808106
Growth 1yr High Est,-0.147887323943662
Growth 1yr Consensus Est,-0.16434956603087153
Growth 2yr Low Est,-0.12193743559057207
Growth 2yr High Est,-0.022290769409847533
Growth 2yr Consensus Est,-0.0721141025002098
Growth 5yr Low Est,-0.11514090615114786
Growth 5yr High Est,-0.06635542108569942
Growth 5yr Consensus Est,-0.09074816361842364
Growth 5yr Actual/Est,-0.09216718089936529
Growth 3yr Historic,-0.049567090930854235
Price/Earnings (TTM),18.47082
Price/Sales (TTM),1.39922
Price/Book (MRQ),0.69067
Price/Cash Flow (TTM),12.11329
5yr Low,19.99
5yr High,97.77
5yr Avg Return,-0.10825000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.17990659999999997
Dividend Growth 5yr,
Short Int Current Month,17713673.0
Short Int Prev Month,16151099.0
Short Int Pct of Float,0.0560203
Days to Cover,2.3792
Float,317.3132
Shares Outstanding,1221.833
Institutions Holding Shares,1247.0
FCF Growth 5yr,-1.1060839644427372
"Price/Earnings (TTM, GAAP)",18.47
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3194
Operating Profit Margin (TTM),0.13
Net Profit Margin (TTM),0.0759
Annual Dividend Yield,0.0555
Dividend Change %,-0.36
"Dividend Growth Rate, 3 Years",-0.12029999999999999
EPS Growth (MRQ),1.0898999999999999
EPS Growth (TTM),1.1782
Revenue Growth (MRQ),-0.057999999999999996
Revenue Growth (TTM),-0.028900000000000002
Return On Equity (TTM),0.037200000000000004
Return On Assets (TTM),0.0184
Return On Investment (TTM),0.0199
Revenue Per Employee (TTM),680405.0
Total Debt/Total Capital (MRQ),0.3907
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),3.04
newConstructs,3
researchTeam,hold
cfra,3
theStreet,hold
ford,2
creditSuisse,underperform
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-06 00:00:00
cfra since,2018-02-16 00:00:00
theStreet since,2020-02-14 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2018-04-16 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
