,KHC
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.18081180811808106
Growth 1yr High Est,-0.147887323943662
Growth 1yr Consensus Est,-0.16434956603087153
Growth 2yr Low Est,-0.12193743559057207
Growth 2yr High Est,-0.022290769409847533
Growth 2yr Consensus Est,-0.0721141025002098
Growth 5yr Low Est,-0.11514090615114786
Growth 5yr High Est,-0.06635542108569942
Growth 5yr Consensus Est,-0.09074816361842364
Growth 5yr Actual/Est,-0.09216718089936529
Growth 3yr Historic,-0.049567090930854235
