,Industry,KHC,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.32,18.47,Valuation,0.7920240137221268
Price/Sales (TTM),2.72,1.4,Valuation,0.5147058823529411
Price/Book (MRQ),37.95,0.69,Valuation,0.018181818181818177
"PEG Ratio (TTM, GAAP)",1.27,,Valuation,
Gross Profit Margin (TTM),0.302,0.3194,Profitability,1.057615894039735
Operating Profit Margin (TTM),0.1104,0.13,Profitability,1.177536231884058
Net Profit Margin (TTM),0.07440000000000001,0.0759,Profitability,1.0201612903225805
Annual Dividend Yield,0.026600000000000002,0.0555,Dividend,2.0864661654135337
Dividend Change %,-0.0002,-0.36,Dividend,1799.9999999999998
"Dividend Growth Rate, 3 Years",0.0667,-0.12029999999999999,Dividend,-1.8035982008995501
EPS Growth (MRQ),-0.0354,1.0898999999999999,Gowth rates,-30.788135593220336
EPS Growth (TTM),0.18300000000000002,1.1782,Gowth rates,6.438251366120217
Revenue Growth (MRQ),0.0424,-0.057999999999999996,Gowth rates,-1.3679245283018866
Revenue Growth (TTM),0.0646,-0.028900000000000002,Gowth rates,-0.4473684210526316
Return On Equity (TTM),0.2529,0.037200000000000004,Effectiveness,0.14709371293001186
Return On Assets (TTM),0.0495,0.0184,Effectiveness,0.37171717171717167
Return On Investment (TTM),0.0649,0.0199,Effectiveness,0.3066255778120185
Revenue Per Employee (TTM),572541.0,680405.0,Effectiveness,1.1883952415634862
Total Debt/Total Capital (MRQ),0.4622,0.3907,Financial strength,0.8453050627434011
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.0005,Financial strength,-0.7142857142857142
Quick Ratio (MRQ),0.87,1.12,Financial strength,1.2873563218390807
Interest Coverage (MRQ),19.66,3.04,Financial strength,0.15462868769074262
