,AMT
% Below High,0.08470000000000001
% Held by Institutions,0.9148000000000001
52-Wk Range,['174.32 - 260.43']
Annual Dividend $,4.32
Annual Dividend %,0.0184
Ask,240.66
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,236.0
Bid Size,100.0
Change Since Close,0.64| |(0.27%)
Closing Price,238.36
Day Change $,3.11
Day Change %,0.0132
Day High,240.25
Day Low,236.68
Dividend Pay Date,2020-04-29 00:00:00
"EPS (TTM, GAAP)",4.27
Ex-dividend,2020-04-13 00:00:00
Ex-dividend Date,04/13/20
Historical Volatility,0.41600000000000004
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,239.0
Market Cap,105.7B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",55.04
Prev Close,235.25
Short Interest,0.0088
Today's Open,237.65
Volume,1879719.0
Volume 10-day Avg,2099474.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.45390070921985815
Growth 1yr High Est,0.41693811074918563
Growth 1yr Consensus Est,0.4354194099845219
Growth 2yr Low Est,0.26841376924407556
Growth 2yr High Est,0.3176644576734434
Growth 2yr Consensus Est,0.2930391134587595
Growth 5yr Low Est,0.1789425128293837
Growth 5yr High Est,0.21177630511562895
Growth 5yr Consensus Est,0.19535940897250634
Growth 5yr Actual/Est,0.17976498275922959
Growth 3yr Historic,0.14203477602455417
Price/Earnings (TTM),55.03774
Price/Sales (TTM),13.43915
Price/Book (MRQ),28.69631
Price/Cash Flow (TTM),27.87401
5yr Low,83.07
5yr High,260.43
5yr Avg Return,0.1778
EPS Growth 5yr,0.1617691
Revenue Growth 5yr,0.1307836
Dividend Growth 5yr,0.2247492
Short Int Current Month,3898175.0
Short Int Prev Month,3808531.0
Short Int Pct of Float,0.0088235
Days to Cover,1.42244
Float,441.6447
Shares Outstanding,443.3064
Institutions Holding Shares,1788.0
FCF Growth 5yr,0.1530605889550226
"Price/Earnings (TTM, GAAP)",55.04
"PEG Ratio (TTM, GAAP)",3.26
Gross Profit Margin (TTM),0.7132
Operating Profit Margin (TTM),0.35479999999999995
Net Profit Margin (TTM),0.2484
Annual Dividend Yield,0.0184
Dividend Change %,0.1993
"Dividend Growth Rate, 3 Years",0.2018
EPS Growth (MRQ),-0.2622
EPS Growth (TTM),0.40850000000000003
Revenue Growth (MRQ),0.0361
Revenue Growth (TTM),0.033100000000000004
Return On Equity (TTM),0.4243
Return On Assets (TTM),0.0484
Return On Investment (TTM),0.0567
Revenue Per Employee (TTM),1422809.0
Total Debt/Total Capital (MRQ),0.8422000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0011
Quick Ratio (MRQ),
Interest Coverage (MRQ),5.56
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromlong
marketEdge,-3
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-04 00:00:00
theStreet since,2016-02-29 00:00:00
cfra since,2019-03-28 00:00:00
ford since,2020-01-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-04-28 00:00:00
