,DFS
% Above Low,0.8373999999999999
% Held by Institutions,0.8518000000000001
52-Wk Range,['23.25 - 92.98']
Annual Dividend $,1.76
Annual Dividend %,0.0435
Ask,43.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,42.72
Bid Size,100.0
Closing Price,42.72
Day Change $,2.24
Day Change %,0.0553
Day High,42.85
Day Low,41.48
Dividend Pay Date,2020-06-04 00:00:00
"EPS (TTM, GAAP)",6.69
Ex-dividend,2020-05-20 00:00:00
Ex-dividend Date,05/20/20
Historical Volatility,0.752
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,13.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.05
Prev Close,40.48
Short Interest,0.0215
Today's Open,42.21
Volume,3635828.0
Volume 10-day Avg,5628271.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.2145251396648045
Growth 1yr High Est,-0.37227074235807867
Growth 1yr Consensus Est,-0.7933979410114416
Growth 2yr Low Est,-1.9588250698324021
Growth 2yr High Est,0.3912559331687867
Growth 2yr Consensus Est,-0.7837845683318077
Growth 5yr Low Est,-0.8615861018657971
Growth 5yr High Est,0.311011023854452
Growth 5yr Consensus Est,-0.2752875390056726
Growth 5yr Actual/Est,0.39151772291923365
Growth 3yr Historic,0.11935671266657177
Price/Earnings (TTM),6.05164
Price/Sales (TTM),1.07036
Price/Book (MRQ),1.36224
Price/Cash Flow (TTM),4.7707
5yr Low,23.25
5yr High,92.98
5yr Avg Return,0.011499999999999996
EPS Growth 5yr,0.1313575
Revenue Growth 5yr,0.0956418
Dividend Growth 5yr,0.1279875
Short Int Current Month,6706027.0
Short Int Prev Month,5500206.0
Short Int Pct of Float,0.021493099999999998
Days to Cover,1.24589
Float,304.7017
Shares Outstanding,306.3008
Institutions Holding Shares,1127.0
FCF Growth 5yr,0.10280341160546513
"Price/Earnings (TTM, GAAP)",6.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.244
Net Profit Margin (TTM),0.18730000000000002
Annual Dividend Yield,0.0435
Dividend Change %,0.12
"Dividend Growth Rate, 3 Years",0.13140000000000002
EPS Growth (MRQ),-1.1117000000000001
EPS Growth (TTM),-0.17670000000000002
Revenue Growth (MRQ),-0.0188
Revenue Growth (TTM),0.069
Return On Equity (TTM),0.2145
Return On Assets (TTM),0.0194
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,1
researchTeam,reduce
cfra,2
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-01-20 00:00:00
cfra since,2020-01-25 00:00:00
theStreet since,2020-03-13 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2013-02-08 00:00:00
