,2015,2016,2017,2018,2019,2020,Report
high,185.19,201.57,255.11,274.66,199.32,165.25,
low,130.01,119.71,182.89,150.94,137.78,88.69,
change,-0.1438,0.2718,0.3375,-0.3568,-0.0461,-0.20980000000000001,
Date,2015-05-31 00:00:00,2016-05-31 00:00:00,2017-05-31 00:00:00,2018-05-31 00:00:00,2019-05-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,3763.0,3534.0,3969.0,3265.0,2319.0,,Balance Sheet
"Trade Accts Recvble, Gross",5904.0,7430.0,7851.0,8882.0,9416.0,,Balance Sheet
Prov. for Doubtful Accts,-185.0,-178.0,-252.0,-401.0,-300.0,,Balance Sheet
"Total Receivables, Net",5719.0,7252.0,7599.0,8481.0,9116.0,,Balance Sheet
Total Inventory,498.0,496.0,514.0,525.0,553.0,,Balance Sheet
Prepaid Expenses,355.0,707.0,546.0,1070.0,1098.0,,Balance Sheet
Total Current Assets,10335.0,11989.0,12628.0,13341.0,13086.0,,Balance Sheet
Machinery/Equipment,33935.0,37031.0,40179.0,43978.0,47809.0,,Balance Sheet
Other Prop./Plant/Equip.,8929.0,9987.0,10447.0,11143.0,11702.0,,Balance Sheet
Prop./Plant/Equip. - Gross,42864.0,47018.0,50626.0,55121.0,59511.0,,Balance Sheet
Accumulated Depreciation,-21989.0,-22734.0,-24645.0,-26967.0,-29082.0,,Balance Sheet
Prop./Plant/Equip. - Net,20875.0,24284.0,25981.0,28154.0,30429.0,,Balance Sheet
"Goodwill, Net",3810.0,6747.0,7154.0,6973.0,6884.0,,Balance Sheet
Intangibles - Gross,432.0,1237.0,846.0,885.0,888.0,,Balance Sheet
Accum. Intangible Amort.,-225.0,-229.0,-317.0,-405.0,-472.0,,Balance Sheet
Intangibles - Net,207.0,1008.0,529.0,480.0,416.0,,Balance Sheet
Long Term Investments,,,729.0,,,,Balance Sheet
Other Long Term Assets,1085.0,1496.0,856.0,2119.0,2248.0,,Balance Sheet
Total Assets,36531.0,45959.0,48552.0,52330.0,54403.0,,Balance Sheet
Accounts Payable,2066.0,2944.0,2752.0,2977.0,3030.0,,Balance Sheet
Accrued Expenses,3871.0,5035.0,5144.0,5308.0,5019.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,19.0,29.0,22.0,1342.0,964.0,,Balance Sheet
Total Current Liabilities,5956.0,8008.0,7918.0,9627.0,9013.0,,Balance Sheet
Total Long Term Debt,7249.0,13733.0,14909.0,15243.0,16617.0,,Balance Sheet
Total Debt,7268.0,13762.0,14931.0,16585.0,17581.0,,Balance Sheet
Deferred Income Tax,1210.0,1567.0,2485.0,2867.0,2821.0,,Balance Sheet
Pension Benefits - Underfunded,4893.0,6227.0,4487.0,2187.0,5095.0,,Balance Sheet
Other LT Liabilities,2230.0,2640.0,2680.0,2990.0,3100.0,,Balance Sheet
"Other Liabilities, Total",7123.0,8867.0,7167.0,5177.0,8195.0,,Balance Sheet
Total Liabilities,21538.0,32175.0,32479.0,32914.0,36646.0,,Balance Sheet
Common Stock,32.0,32.0,32.0,32.0,32.0,,Balance Sheet
Additional Paid-In Capital,2786.0,2892.0,3005.0,3117.0,3231.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),16900.0,18371.0,20833.0,24823.0,24648.0,,Balance Sheet
Treasury Stock - Common,-4897.0,-7342.0,-7382.0,-7978.0,-9289.0,,Balance Sheet
Cum. Trans. Adjustment,,-514.0,-685.0,-759.0,-954.0,,Balance Sheet
Min. Pension Lblty Adj.,,345.0,270.0,181.0,89.0,,Balance Sheet
Other Comprehensive Income,172.0,,,,,,Balance Sheet
"Other Equity, Total",172.0,-169.0,-415.0,-578.0,-865.0,,Balance Sheet
Total Equity,14993.0,13784.0,16073.0,19416.0,17757.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,36531.0,45959.0,48552.0,52330.0,54403.0,,Balance Sheet
Ttl Comm. Shares Outs.,282.0,266.0,268.0,266.0,261.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,36.0,52.0,50.0,52.0,57.0,,Balance Sheet
Date,2015-05-31 00:00:00,2016-05-31 00:00:00,2017-05-31 00:00:00,2018-05-31 00:00:00,2019-05-31 00:00:00,,Income Statement
Total Revenue,47453.0,50365.0,60319.0,65450.0,69693.0,,Income Statement
"Cost of Revenue, Total",12203.0,12365.0,16403.0,18475.0,20543.0,,Income Statement
Selling/Gen/Admin Expense,4781.0,4962.0,5614.0,5983.0,6194.0,,Income Statement
Labor & Related Expense,17110.0,18581.0,21989.0,23795.0,24776.0,,Income Statement
Advertising Expense,403.0,417.0,458.0,442.0,468.0,,Income Statement
