,FDX
% Above Low,0.358
% Held by Institutions,0.7333
52-Wk Range,['88.69 - 181.09']
Annual Dividend $,2.6
Annual Dividend %,0.0223
Ask,121.23
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,120.55
Bid Size,200.0
Closing Price,120.44
Day Change $,3.7
Day Change %,0.0317
Day High,120.89
Day Low,118.18
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",-0.73
Ex-dividend,2020-03-06 00:00:00
Ex-dividend Date,03/06/20
Historical Volatility,0.499
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,31.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,116.74
Short Interest,0.0236
Today's Open,118.25
Volume,1771658.0
Volume 10-day Avg,2197558.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,-0.48874172185430464
Growth 1yr High Est,-0.36375078665827565
Growth 1yr Consensus Est,-0.42624625425629015
Growth 2yr Low Est,-0.3628941769893285
Growth 2yr High Est,-0.09829478007493397
Growth 2yr Consensus Est,-0.23059447853213125
Growth 5yr Low Est,-0.1138759959583707
Growth 5yr High Est,0.026608835317688873
Growth 5yr Consensus Est,-0.04363358032034091
Growth 5yr Actual/Est,-0.014773554935944871
Growth 3yr Historic,0.06460799307535853
Price/Earnings (TTM),
Price/Sales (TTM),0.43778
Price/Book (MRQ),1.97139
Price/Cash Flow (TTM),9.06608
5yr Low,88.69
5yr High,274.66
5yr Avg Return,-0.024533333333333338
EPS Growth 5yr,-0.252125
Revenue Growth 5yr,0.08869880000000001
Dividend Growth 5yr,0.3453159
Short Int Current Month,5693934.0
Short Int Prev Month,5901439.0
Short Int Pct of Float,0.0236258
Days to Cover,1.83403
Float,241.0875
Shares Outstanding,261.2498
Institutions Holding Shares,1550.0
FCF Growth 5yr,0.36901287456038023
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7045
Operating Profit Margin (TTM),0.0468
Net Profit Margin (TTM),-0.0027
Annual Dividend Yield,0.0223
Dividend Change %,0.3
"Dividend Growth Rate, 3 Years",0.39880000000000004
EPS Growth (MRQ),-0.43829999999999997
EPS Growth (TTM),-1.0607
Revenue Growth (MRQ),0.0094
Revenue Growth (TTM),0.0067
Return On Equity (TTM),-0.0099
Return On Assets (TTM),-0.0031
Return On Investment (TTM),-0.0036
Revenue Per Employee (TTM),393593.0
Total Debt/Total Capital (MRQ),0.5063000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),3.12
newConstructs,3
researchTeam,reduce
theStreet,hold
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2019-06-07 00:00:00
cfra since,2019-12-19 00:00:00
ford since,2018-09-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2015-02-27 00:00:00
