,FDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,25.79,Valuation,
Price/Sales (TTM),0.44,0.93,Valuation,0.47311827956989244
Price/Book (MRQ),1.97,14.95,Valuation,0.13177257525083613
"PEG Ratio (TTM, GAAP)",,0.86,Valuation,
Gross Profit Margin (TTM),0.7045,0.658,Profitability,1.0706686930091185
Operating Profit Margin (TTM),0.0468,0.0817,Profitability,0.572827417380661
Net Profit Margin (TTM),-0.0027,0.042,Profitability,-0.06428571428571428
Annual Dividend Yield,0.0223,0.032,Dividend,0.696875
Dividend Change %,0.3,0.1092,Dividend,2.747252747252747
"Dividend Growth Rate, 3 Years",0.39880000000000004,0.1342,Dividend,2.9716840536512668
EPS Growth (MRQ),-0.43829999999999997,-0.9667,Gowth rates,0.45339815868418326
EPS Growth (TTM),-1.0607,-0.3011,Gowth rates,3.5227499169711063
Revenue Growth (MRQ),0.0094,0.023100000000000002,Gowth rates,0.4069264069264069
Revenue Growth (TTM),0.0067,0.0149,Gowth rates,0.44966442953020136
Return On Equity (TTM),-0.0099,0.8303,Effectiveness,-0.011923401180296278
Return On Assets (TTM),-0.0031,0.067,Effectiveness,-0.04626865671641791
Return On Investment (TTM),-0.0036,0.0962,Effectiveness,-0.037422037422037424
Revenue Per Employee (TTM),393593.0,301094.0,Effectiveness,1.3072097085959866
Total Debt/Total Capital (MRQ),0.5063000000000001,0.6729999999999999,Financial strength,0.7523031203566124
Change in Debt/Total Capital Quarter over Quarter,-0.0018,-0.0004,Financial strength,4.5
Quick Ratio (MRQ),1.16,0.25,Financial strength,4.64
Interest Coverage (MRQ),3.12,12.42,Financial strength,0.25120772946859904
