,KR
% Below High,0.095
% Held by Institutions,0.8234
52-Wk Range,['20.70 - 36.84']
Annual Dividend $,0.64
Annual Dividend %,0.0196
Ask,33.4
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,33.17
Bid Size,100.0
Closing Price,33.34
Day Change $,0.66
Day Change %,0.0202
Day High,33.52
Day Low,32.55
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.04
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.331
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.02
Prev Close,32.68
Short Interest,0.056299999999999996
Today's Open,32.7
Volume,7917201.0
Volume 10-day Avg,9602009.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-06-18 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.0981308411214954
Growth 1yr High Est,0.3169642857142856
Growth 1yr Consensus Est,0.2075475634178905
Growth 2yr Low Est,0.05970371843308808
Growth 2yr High Est,0.09577027845036312
Growth 2yr Consensus Est,0.0777369984417256
Growth 5yr Low Est,0.04602101344539983
Growth 5yr High Est,0.06711590845595083
Growth 5yr Consensus Est,0.05656846095067533
Growth 5yr Actual/Est,0.05259475285111784
Growth 3yr Historic,0.018057104358330966
Price/Earnings (TTM),16.01607
Price/Sales (TTM),0.20789
Price/Book (MRQ),2.9937
Price/Cash Flow (TTM),6.10947
5yr Low,19.69
5yr High,42.75
5yr Avg Return,0.0005166666666666674
EPS Growth 5yr,0.0325108
Revenue Growth 5yr,0.024277000000000003
Dividend Growth 5yr,0.1203003
Short Int Current Month,41113891.0
Short Int Prev Month,27019076.0
Short Int Pct of Float,0.0562639
Days to Cover,2.81458
Float,732.0526
Shares Outstanding,777.8918
Institutions Holding Shares,1074.0
FCF Growth 5yr,0.17113274865755007
"Price/Earnings (TTM, GAAP)",16.02
"PEG Ratio (TTM, GAAP)",2.57
Gross Profit Margin (TTM),0.2207
Operating Profit Margin (TTM),0.0198
Net Profit Margin (TTM),0.0124
Annual Dividend Yield,0.0196
Dividend Change %,0.13210000000000002
"Dividend Growth Rate, 3 Years",0.10060000000000001
EPS Growth (MRQ),0.2539
EPS Growth (TTM),-0.4484
Revenue Growth (MRQ),0.0329
Revenue Growth (TTM),0.0077
Return On Equity (TTM),0.1991
Return On Assets (TTM),0.0363
Return On Investment (TTM),0.055
Revenue Per Employee (TTM),281117.0
Total Debt/Total Capital (MRQ),0.6215
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),3.6
newConstructs,3
researchTeam,hold
marketEdge opinion,long
marketEdge,-1
theStreet,buy
cfra,4
ford,1
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2020-01-06 00:00:00
cfra since,2019-03-01 00:00:00
ford since,2020-04-09 00:00:00
creditSuisse since,2020-03-06 00:00:00
