,Industry,KR,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",23.66,16.02,Valuation,0.6770921386306001
Price/Sales (TTM),0.64,0.21,Valuation,0.328125
Price/Book (MRQ),5.4,2.99,Valuation,0.5537037037037037
"PEG Ratio (TTM, GAAP)",0.37,2.57,Valuation,6.945945945945946
Gross Profit Margin (TTM),0.21309999999999998,0.2207,Profitability,1.0356640075082122
Operating Profit Margin (TTM),0.0349,0.0198,Profitability,0.5673352435530087
Net Profit Margin (TTM),0.0257,0.0124,Profitability,0.4824902723735408
Annual Dividend Yield,0.0177,0.0196,Dividend,1.1073446327683616
Dividend Change %,0.0592,0.13210000000000002,Dividend,2.2314189189189193
"Dividend Growth Rate, 3 Years",0.0524,0.10060000000000001,Dividend,1.919847328244275
EPS Growth (MRQ),-0.0415,0.2539,Gowth rates,-6.118072289156626
EPS Growth (TTM),0.645,-0.4484,Gowth rates,-0.6951937984496124
Revenue Growth (MRQ),0.0426,0.0329,Gowth rates,0.772300469483568
Revenue Growth (TTM),0.0349,0.0077,Gowth rates,0.22063037249283668
Return On Equity (TTM),0.2195,0.1991,Effectiveness,0.9070615034168565
Return On Assets (TTM),0.066,0.0363,Effectiveness,0.5499999999999999
Return On Investment (TTM),0.1119,0.055,Effectiveness,0.49151027703306527
Revenue Per Employee (TTM),514712.0,281117.0,Effectiveness,0.5461636798831191
Total Debt/Total Capital (MRQ),0.40700000000000003,0.6215,Financial strength,1.527027027027027
Change in Debt/Total Capital Quarter over Quarter,-0.001,-0.0022,Financial strength,2.2
Quick Ratio (MRQ),0.35,0.27,Financial strength,0.7714285714285716
Interest Coverage (MRQ),1.21,3.6,Financial strength,2.9752066115702482
