,Industry,NOV,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",-0.99,,Valuation,
Price/Sales (TTM),0.82,0.61,Valuation,0.7439024390243902
Price/Book (MRQ),1.22,0.93,Valuation,0.7622950819672132
"PEG Ratio (TTM, GAAP)",0.0,,Valuation,
Gross Profit Margin (TTM),0.1746,0.0965,Profitability,0.5526918671248569
Operating Profit Margin (TTM),-0.4504,-0.9714,Profitability,2.1567495559502663
Net Profit Margin (TTM),-0.466,-0.9578,Profitability,2.0553648068669528
Annual Dividend Yield,0.0449,0.0152,Dividend,0.33853006681514475
Dividend Change %,-0.0363,0.0,Dividend,-0.0
"Dividend Growth Rate, 3 Years",-0.015500000000000002,-0.3104,Dividend,20.0258064516129
EPS Growth (MRQ),-72.6755,-4.303,Gowth rates,0.05920839897902319
EPS Growth (TTM),-49.932,-199.40439999999998,Gowth rates,3.993519186093086
Revenue Growth (MRQ),-0.0477,-0.1745,Gowth rates,3.6582809224318655
Revenue Growth (TTM),-0.0086,-0.020499999999999997,Gowth rates,2.383720930232558
Return On Equity (TTM),-0.47869999999999996,-0.8379000000000001,Effectiveness,1.7503655734280346
Return On Assets (TTM),-0.251,-0.5257000000000001,Effectiveness,2.0944223107569724
Return On Investment (TTM),-0.3118,-0.6139,Effectiveness,1.9688903143040408
Revenue Per Employee (TTM),371630.0,237380.0,Effectiveness,0.6387535990097678
Total Debt/Total Capital (MRQ),0.40659999999999996,0.2916,Financial strength,0.7171667486473193
Change in Debt/Total Capital Quarter over Quarter,0.0031,0.0055000000000000005,Financial strength,1.774193548387097
Quick Ratio (MRQ),1.36,1.79,Financial strength,1.3161764705882353
Interest Coverage (MRQ),0.91,-0.23,Financial strength,-0.25274725274725274
