,NOV
% Above Low,0.6487999999999999
% Held by Institutions,0.9793000000000001
52-Wk Range,['8.00 - 25.81']
Annual Dividend $,0.2
Annual Dividend %,0.016200000000000003
Ask,13.5
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.8
Bid,12.41
Bid Size,100.0
Closing Price,13.19
Day Change $,0.84
Day Change %,0.068
Day High,13.21
Day Low,12.54
Dividend Pay Date,2020-03-27 00:00:00
"EPS (TTM, GAAP)",-21.1
Ex-dividend,2020-03-12 00:00:00
Ex-dividend Date,03/12/20
Historical Volatility,0.755
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,5.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,12.35
Short Interest,0.055099999999999996
Today's Open,12.66
Volume,2713560.0
Volume 10-day Avg,4989096.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-27 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,16.818181818181817
Growth 1yr High Est,1.2999999999999998
Growth 1yr Consensus Est,9.059090909090909
Growth 2yr Low Est,8.153988868274581
Growth 2yr High Est,1.1065217391304345
Growth 2yr Consensus Est,4.630255303702508
Growth 5yr Low Est,3.8867770428329433
Growth 5yr High Est,0.23183229813664585
Growth 5yr Consensus Est,2.059304670484795
Growth 5yr Actual/Est,-6.588690476190476
Growth 3yr Historic,-6.2976190476190474
Price/Earnings (TTM),
Price/Sales (TTM),0.56929
Price/Book (MRQ),0.87396
Price/Cash Flow (TTM),
5yr Low,8.0
5yr High,52.55
5yr Avg Return,-0.17826666666666668
EPS Growth 5yr,
Revenue Growth 5yr,-0.16933869999999998
Dividend Growth 5yr,-0.34349620000000003
Short Int Current Month,21310687.0
Short Int Prev Month,20651080.0
Short Int Pct of Float,0.0551229
Days to Cover,4.73778
Float,386.5987
Shares Outstanding,388.223
Institutions Holding Shares,705.0
FCF Growth 5yr,-0.02298481976840927
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0965
Operating Profit Margin (TTM),-0.9714
Net Profit Margin (TTM),-0.9578
Annual Dividend Yield,0.0152
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.3104
EPS Growth (MRQ),-4.303
EPS Growth (TTM),-199.40439999999998
Revenue Growth (MRQ),-0.1745
Revenue Growth (TTM),-0.020499999999999997
Return On Equity (TTM),-0.8379000000000001
Return On Assets (TTM),-0.5257000000000001
Return On Investment (TTM),-0.6139
Revenue Per Employee (TTM),237380.0
Total Debt/Total Capital (MRQ),0.2916
Change in Debt/Total Capital Quarter over Quarter,0.0055000000000000005
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),-0.23
newConstructs,4
researchTeam,reduce
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet,sell
cfra,3
ford,4
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-05-13 00:00:00
marketEdge opinion since,2020-05-08 00:00:00
marketEdge since,2020-05-08 00:00:00
theStreet since,2019-06-03 00:00:00
cfra since,2020-04-30 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2020-03-20 00:00:00
