,AMZN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",113.1,96.14,Valuation,1.1764094029540253
Price/Sales (TTM),3.99,8.41,Valuation,0.47443519619500596
Price/Book (MRQ),18.1,16.87,Valuation,1.072910491997629
"PEG Ratio (TTM, GAAP)",3.33,1.94,Valuation,1.7164948453608249
Gross Profit Margin (TTM),0.40640000000000004,0.39549999999999996,Profitability,1.0275600505689004
Operating Profit Margin (TTM),0.047599999999999996,0.045899999999999996,Profitability,1.037037037037037
Net Profit Margin (TTM),0.036000000000000004,0.032799999999999996,Profitability,1.0975609756097564
Annual Dividend Yield,,0.0005,Dividend,
Dividend Change %,,0.0004,Dividend,
"Dividend Growth Rate, 3 Years",,0.0007000000000000001,Dividend,
EPS Growth (MRQ),-0.2258,-0.30350000000000005,Gowth rates,0.743986820428336
EPS Growth (TTM),-0.1151,-0.49520000000000003,Gowth rates,0.23243134087237477
Revenue Growth (MRQ),-0.1371,0.24670000000000003,Gowth rates,-0.5557357113903526
Revenue Growth (TTM),0.2266,0.2252,Gowth rates,1.0062166962699821
Return On Equity (TTM),0.1858,0.1859,Effectiveness,0.9994620763851532
Return On Assets (TTM),0.0535,0.0434,Effectiveness,1.2327188940092166
Return On Investment (TTM),0.0834,0.0703,Effectiveness,1.1863442389758179
Revenue Per Employee (TTM),371269.0,389050.0,Effectiveness,0.9542963629353554
Total Debt/Total Capital (MRQ),0.3872,0.43710000000000004,Financial strength,0.8858384808968198
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,-0.0006,Financial strength,2.833333333333334
Quick Ratio (MRQ),0.84,0.81,Financial strength,1.037037037037037
Interest Coverage (MRQ),19.95,14.83,Financial strength,1.3452461227242076
