,AMZN
% Below High,0.0385
% Held by Institutions,0.5586
52-Wk Range,"['1,626.03 - 2,475.00']"
Annual Dividend $,
Annual Dividend %,
Ask,2380.0
Ask Size,100.0
Ask close,0.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,2379.36
Bid Size,200.0
Bid close,2050.0
Change Since Close,0.08| |(0.00%)
Closing Price,2379.61
Day Change $,12.0
Day Change %,0.0051
Day High,2387.24
Day Low,2357.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",20.93
Ex-dividend Date,No dividend
Historical Volatility,0.316
Last (size),6.0
Last (time),4:15p ET 05/08/20
Last Trade,2379.69
Market Cap,1.2T
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",113.1
Prev Close,2367.61
Short Interest,0.011699999999999999
Today's Open,2372.14
Volume,3208373.0
Volume 10-day Avg,5131161.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,46.0
Growth 1yr Low Est,-0.41418516513264747
Growth 1yr High Est,0.003284671532846728
Growth 1yr Consensus Est,-0.20545024679990037
Growth 2yr Low Est,0.11776878527101459
Growth 2yr High Est,0.5531155987711524
Growth 2yr Consensus Est,0.3354421920210835
Growth 5yr Low Est,0.07851252351400972
Growth 5yr High Est,0.3687437325141016
Growth 5yr Consensus Est,0.22362812801405565
Growth 5yr Actual/Est,1.0916767753257954
Growth 3yr Historic,0.8897922873220789
Price/Earnings (TTM),113.0988
Price/Sales (TTM),3.98587
Price/Book (MRQ),18.10022
Price/Cash Flow (TTM),35.81437
5yr Low,418.36
5yr High,2475.0
5yr Avg Return,0.34335
EPS Growth 5yr,
Revenue Growth 5yr,0.2581346
Dividend Growth 5yr,
Short Int Current Month,4948222.0
Short Int Prev Month,4844546.0
Short Int Pct of Float,0.0117203
Days to Cover,1.06932
Float,422.9493
Shares Outstanding,498.776
Institutions Holding Shares,3957.0
FCF Growth 5yr,0.4090275682292058
"Price/Earnings (TTM, GAAP)",113.1
"PEG Ratio (TTM, GAAP)",3.33
Gross Profit Margin (TTM),0.40640000000000004
Operating Profit Margin (TTM),0.047599999999999996
Net Profit Margin (TTM),0.036000000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2258
EPS Growth (TTM),-0.1151
Revenue Growth (MRQ),-0.1371
Revenue Growth (TTM),0.2266
Return On Equity (TTM),0.1858
Return On Assets (TTM),0.0535
Return On Investment (TTM),0.0834
Revenue Per Employee (TTM),371269.0
Total Debt/Total Capital (MRQ),0.3872
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),19.95
newConstructs,3
researchTeam,hold
cfra,4
theStreet,buy
ford,3
creditSuisse,outperform
marketEdge opinion,long
marketEdge,0
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-27 00:00:00
cfra since,2015-07-25 00:00:00
theStreet since,2017-11-08 00:00:00
ford since,2020-02-07 00:00:00
creditSuisse since,2012-05-15 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
