,GWW
% Below High,0.1764
% Held by Institutions,0.7204999999999999
52-Wk Range,['200.61 - 346.60']
Annual Dividend $,5.76
Annual Dividend %,0.020499999999999997
Ask,353.35
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,285.25
Bid Size,100.0
Closing Price,285.45
Day Change $,5.78
Day Change %,0.0207
Day High,285.45
Day Low,281.27
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",14.11
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.42600000000000005
Last (size),2500.0
Last (time),6:30p ET 05/08/20
Market Cap,15.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.93
Prev Close,279.67
Short Interest,0.0225
Today's Open,284.42
Volume,200672.0
Volume 10-day Avg,329319.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.2762015055008685
Growth 1yr High Est,-0.09740990990990994
Growth 1yr Consensus Est,-0.18680570770538923
Growth 2yr Low Est,-0.04010075275043429
Growth 2yr High Est,0.022723616473616426
Growth 2yr Consensus Est,-0.00868856813840893
Growth 5yr Low Est,0.001759774722002505
Growth 5yr High Est,0.03419669669669667
Growth 5yr Consensus Est,0.017978235709349588
Growth 5yr Actual/Est,0.12394840179609123
Growth 3yr Historic,0.12314298105359955
Price/Earnings (TTM),19.926
Price/Sales (TTM),1.28597
Price/Book (MRQ),8.30407
Price/Cash Flow (TTM),14.5221
5yr Low,155.0
5yr High,372.06
5yr Avg Return,0.03938333333333333
EPS Growth 5yr,0.0627839
Revenue Growth 5yr,0.0288184
Dividend Growth 5yr,0.0637571
Short Int Current Month,1001692.0
Short Int Prev Month,1115867.0
Short Int Pct of Float,0.021619199999999998
Days to Cover,2.69085
Float,46.13201
Shares Outstanding,53.46794
Institutions Holding Shares,915.0
FCF Growth 5yr,0.04543226775887064
"Price/Earnings (TTM, GAAP)",19.93
"PEG Ratio (TTM, GAAP)",2.1
Gross Profit Margin (TTM),0.37840000000000007
Operating Profit Margin (TTM),0.09050000000000001
Net Profit Margin (TTM),0.07
Annual Dividend Yield,0.020499999999999997
Dividend Change %,0.059699999999999996
"Dividend Growth Rate, 3 Years",0.0555
EPS Growth (MRQ),0.6831
EPS Growth (TTM),-0.006999999999999999
Revenue Growth (MRQ),0.0541
Revenue Growth (TTM),0.0386
Return On Equity (TTM),0.4068
Return On Assets (TTM),0.12400000000000001
Return On Investment (TTM),0.16649999999999998
Revenue Per Employee (TTM),491092.0
Total Debt/Total Capital (MRQ),0.622
Change in Debt/Total Capital Quarter over Quarter,0.0027
Quick Ratio (MRQ),2.2
Interest Coverage (MRQ),16.33
newConstructs,1
researchTeam,hold
theStreet,buy
cfra,3
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-13 00:00:00
theStreet since,2017-12-14 00:00:00
cfra since,2016-10-18 00:00:00
ford since,2019-04-05 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
