,2015,2016,2017,2018,2019,2020,Report
high,251.9,240.74,262.72,372.06,340.57,346.6,
low,189.6,176.85,155.0,223.25,255.09,200.61,
change,-0.18480000000000002,0.16390000000000002,0.0121,0.1911,0.2138,-0.1598,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,290.0,274.0,327.0,538.0,360.0,,Balance Sheet
"Trade Accts Recvble, Gross",1232.0,1250.0,1354.0,1410.0,1446.0,,Balance Sheet
Prov. for Doubtful Accts,-22.0,-27.0,-29.0,-25.0,-21.0,,Balance Sheet
"Total Receivables, Net",1210.0,1223.0,1325.0,1385.0,1425.0,,Balance Sheet
Total Inventory,1414.0,1406.0,1429.0,1541.0,1655.0,,Balance Sheet
Prepaid Expenses,135.0,117.0,125.0,93.0,115.0,,Balance Sheet
"Other Curr. Assets, Total",0.0,,,,,,Balance Sheet
Total Current Assets,3049.0,3020.0,3206.0,3557.0,3555.0,,Balance Sheet
Buildings,1352.0,1313.0,,1338.0,1329.0,,Balance Sheet
Land/Improvements,324.0,356.0,,318.0,332.0,,Balance Sheet
Other Prop./Plant/Equip.,1694.0,1742.0,3445.0,1785.0,2055.0,,Balance Sheet
Prop./Plant/Equip. - Gross,3370.0,3412.0,3445.0,3441.0,3716.0,,Balance Sheet
Accumulated Depreciation,-1939.0,-1991.0,-2053.0,-2089.0,-2093.0,,Balance Sheet
Prop./Plant/Equip. - Net,1431.0,1421.0,1392.0,1352.0,1623.0,,Balance Sheet
"Goodwill, Net",582.0,527.0,544.0,424.0,429.0,,Balance Sheet
Intangibles - Gross,1129.0,1150.0,1226.0,1190.0,1163.0,,Balance Sheet
Accum. Intangible Amort.,-481.0,-564.0,-657.0,-730.0,-859.0,,Balance Sheet
Intangibles - Net,648.0,586.0,569.0,528.0,304.0,,Balance Sheet
Other Long Term Assets,64.0,75.0,71.0,,83.0,,Balance Sheet
Total Assets,5858.0,5694.0,5804.0,5873.0,6005.0,,Balance Sheet
Accounts Payable,583.0,650.0,732.0,678.0,719.0,,Balance Sheet
Accrued Expenses,588.0,558.0,661.0,664.0,631.0,,Balance Sheet
Notes Payable/ST Debt,353.0,386.0,56.0,49.0,55.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,247.0,20.0,39.0,81.0,246.0,,Balance Sheet
"Other Curr. Lblts, Total",17.0,15.0,20.0,29.0,27.0,,Balance Sheet
Total Current Liabilities,1789.0,1629.0,1507.0,1501.0,1678.0,,Balance Sheet
Total Long Term Debt,1388.0,1841.0,2248.0,2090.0,1914.0,,Balance Sheet
Total Debt,1989.0,2247.0,2342.0,2220.0,2215.0,,Balance Sheet
